,ANSWER,QUESTION.question,QUESTION.paragraph
17,"Stock based, mixed, stockless systems, horticultural crops",Which farming systems are detailed in Chapter 7?,7.3 Stockless systems 35 7.4 Field scale horticultural crops 37
18,Further information,What does Chapter 9 offer to readers?,"Sources and useful reading, contacts"
19,"Sources and useful reading, Contacts",What are the two main internal sources of information detailed in Chapter 9?,9.1 Sources and useful reading 39 9.2 Contacts 39
20,"Maintaining good soil management is critical in organic farming because it ensures proper nutrition for plants and livestock, and its wider environmental value is increasingly recognized.",Why is maintaining good soil management critical in organic farming?,Good soil management is the key to plant and livestock nutrition in organic farming. As the wider value of good quality soils and appropriate soil management to our environment
21,Understanding soil management helps farmers realize how operations affect soil properties and offers practical advice on maintaining and improving soil health and fertility.,What impact can understanding soil management have on farming practices?,It will give users an understanding of soil and how farming operations can affect soil properties. It also provides practical information on how to maintain and improve soil health and fertility.
22,"The guide's information aids organic farms by promoting efficient and sensitive land management, improving soil health, and aiding decision-making processes.",How can the information in this guide benefit organic farms?,The information in this guide will help achieve efficient and sensitive land management on organic farms.
23,"Besides farmers, this guide is useful for supporters of the organic sector, advisors, information providers, and policy makers interested in organic farming.","Who is the guide particularly useful for, aside from farmers?","The guide will also be of value to those supporting the organic sector with advice and information, as well as policy makers."
24,"The soil health section covers soil health, biology, fertility, types, structure and texture, and the nitrogen, phosphorus, and potassium cycles.",What topics are addressed in the soil health section of the guide?,3.1 Soil health 7 3.2 Soil biology 7 3.3 Soil fertility 8 3.4 Soil types 11 3.5 Soil structure and texture 11 3.6 Nitrogen cycle 14 3.7 Phosphorus cycle 15 3.8 Potassium cycle 15
25,Autumn or spring.,What is the ideal time for soil sampling?,"Time of sampling
It is really important to do this when the soil is moist, so that compaction problems are obvious. Autumn or spring is the best time."
26,"Soil type, sand, loam and clay, stone content, soil layers, depth, and colour of topsoil, subsoil, compaction layers.",What should be identified within the layer of coarse material?,"Within the layer of coarse material identify
• Soil type, sand, loam and clay
• Stone content
• Soil layers, depth and colour of topsoil, subsoil, compaction layers"
27,Observations should be noted immediately in the field.,What should be noted immediately regarding the sample?,"Examining the sample
The assessment should concentrate on the following key points. The observations should be noted immediately in the field including photographic evidence for use in future years."
28,"Moist soil clearly shows compaction problems, making it important for sampling.",What is the significance of soil's moisture condition during sampling?,"Time of sampling
It is really important to do this when the soil is moist, so that compaction problems are obvious. Autumn or spring is the best time."
29,To distinguish between soil structure characteristics and identify aeration quality.,Why are true and false crumbs evaluated?,"Within the layer of fine material (tilth) assess
• True crumbs and false crumbs. True crumbs have large and irregular surfaces, are loosely put together with a lot of small air spaces. False crumbs have flat surfaces, are pressed close together and with hardly any air spaces."
30,Low biological activity.,What does yellow hard straw indicate?,"Within the layer of fine material (tilth) assess
• State of decomposition of plants, straw or manure. Yellow hard straw is an indication of low biological activity."
31,Lack of oxygen or waterlogging.,"What does black, hard straw indicate in soil assessment?","Within the layer of fine material (tilth) assess
• State of decomposition of plants, straw or manure. Black, hard straw indicates lack of oxygen or waterlogging."
32,"Air spaces should vary in size, with many small and medium-sized ones.",How should air spaces in the soil layer of fine material vary?,"Within the layer of fine material (tilth) assess
• Air spaces. They should vary in size, with many small and medium-sized ones."
33,High productivity of the root system and plant.,What do fine and deep roots indicate?,"Assess root development
• Root system: fine and deep roots show high productivity of the root system and of the plant."
34,White roots.,What promotes good aerobic activity in roots?,"Assess root development
• White roots indicate good aerobic activity."
35,The presence and proportion of clay in the soil type.,What does clay content within the layer of coarse material indicate?,"Within the layer of coarse material identify
• Soil type, sand, loam and clay"
36,It indicates a state of decomposition due to lack of oxygen or waterlogging.,"What aspect of plant material is indicated by black, hard straw?","Within the layer of fine material (tilth) assess
• State of decomposition of plants, straw or manure. Black, hard straw indicates lack of oxygen or waterlogging."
37,For future reference and to document conditions at the time of the assessment.,Why is photographic evidence important when examining soil samples?,"Examining the sample
The assessment should concentrate on the following key points. The observations should be noted immediately in the field, including photographic evidence for use in future years."
38,To ensure the soil is moist which makes compaction problems more apparent.,Why should soil samples be taken during autumn or spring?,"Time of sampling
It is really important to do this when the soil is moist, so that compaction problems are obvious. Autumn or spring is the best time."
39,The amount and type of stones present in the soil.,What should be identified about stone content in coarse material layer?,"Within the layer of coarse material identify
• Stone content"
40,"It indicates good soil structure, promoting aeration and root growth.",How does the presence of many small and medium air spaces affect the soil?,"Within the layer of fine material (tilth) assess
• Air spaces. They should vary in size, with many small and medium-sized ones."
41,It indicates healthy and normal root development.,What do regular branching of roots indicate?,"Assess root development
• Branching of roots. They should be regular"
42,By observing the number and type of organisms and activity within the soil.,How is the extent of visible soil-life activity assessed?,"Assess soil life
• Extent of visible soil-life activity."
43,The presence of white roots on legumes indicates good aerobic activity.,What indicates good aerobic activity in legume roots?,"Assess root development
• Rhizobia on roots of legumes.
• White roots indicate good aerobic activity."
44,The structure and condition of the soil when analyzed.,What does the size of clumps in the coarse material layer denote?,"Within the layer of coarse material identify
• Size of clumps if the block is thrown onto the ground."
45,Yellow hard straw.,What indicates low biological activity in fine material layer?,"Within the layer of fine material (tilth) assess
• State of decomposition of plants, straw or manure. Yellow hard straw is an indication of low biological activity."
46,"False crumbs have flat surfaces, are pressed close together with hardly any air spaces.",How should false crumbs in fine material layer be characterized?,"Within the layer of fine material (tilth) assess
• False crumbs. False crumbs have flat surfaces, are pressed close together and with hardly any air spaces."
47,"Root productivity, branching, penetration, impenetrable layers, thickness, rhizobia presence, and aerobic activity.",What aspects of root development should be assessed?,"Assess root development
• Root system: fine and deep roots show high productivity of the root system and of the plant
• Branching of roots. They should be regular
• Root penetration and any impenetrable layers
• Thickness of roots
• Rhizobia on roots of legumes
• White roots indicate good aerobic activity."
48,"True and false crumbs, variation in air spaces, waterlogged layers, state of decomposition.",What should be identified with regards to fine material in the soil?,"Within the layer of fine material (tilth) assess
• True crumbs and false crumbs. True crumbs have large and irregular surfaces, are loosely put together with a lot of small air spaces. False crumbs have flat surfaces, are pressed close together and with hardly any air spaces.
• Air spaces. They should vary in size, with many small and medium-sized ones.
• Waterlogged layers. They create anaerobic conditions
• State of decomposition of plants, straw or manure. Yellow hard straw is an indication of low biological activity. Black, hard straw indicates lack of oxygen or waterlogging."
49,"They indicate the level of biological activity in the soil, reflecting its health.",How are earthworm burrows relevant in soil assessment?,"Assess soil life
• Number of earthworm burrows."
50,Balancing growth and regeneration processes.,What should soil fertility be maintained through?,Soil fertility should be maintained through balancing the processes of growth and the process of regeneration.
51,Stable and slowly degradable material.,What is the final product of an effective aerobic composting process?,"The final product of an effective aerobic composting process is a stable and slowly degradable material, which provides a long-term source of soil nutrients."
52,Three days.,For how long should an aerobic condition be maintained in composting to kill human and plant pathogens?,"If maintained at above 55°C and below 70°C for three days in an aerobic condition, this will kill human and plant pathogens."
53,Clay.,What additional ingredient promotion helps to bind clay particles in compost?,The addition of clay to the compost heap is important for this.
54,Vital food source and balanced nutrients.,What does organic matter provide for the soil?,"Organic matter, following microbial decomposition, not only provides a vital food source for soil life but is also a well-balanced source of all the nutrients needed by plants."
55,Lower nutrient loss through runoff or leaching.,What does stable compost mean in terms of nutrient loss?,The stability of the final compost means that losses through runoff or leaching are much lower when compared with equivalent applications of fresh manure or slurry.
56,It improves soil structure and forms the basis of soil fertility management.,Why is it beneficial to recycle organic matter through manure and plant wastes?,Recycling of organic matter through manure and plant wastes helps to improve soil structure and should form the basis of a soil fertility management plan for organic farms.
57,It rises significantly to approximately 60°C.,What happens to the temperature of the compost heap within a week?,Within about a week the temperature in the compost heap rises significantly from ambient to approximately 60°C.
58,Leaching reduces nutrient losses in stable compost compared to fresh manure.,What is the role of leaching in compost stability?,"The stability of the final compost means that losses through runoff or leaching are much lower when compared with equivalent applications of fresh manure or slurry, which have a greater proportion of readily soluble nutrients."
59,It helps bind long chain humic acid substances to clay particles.,What is the importance of adding clay to compost?,The addition of clay to the compost heap allows long chain humic acid substances to bind to clay particles in the heap to form the clay-humus crumb.
60,Turning and managing the compost heap to promote aerobic conditions.,What is the process involved in composting?,Compost production involves turning and managing the compost heap to promote aerobic conditions and prevent anaerobic conditions that produce toxic compounds.
61,It contains beneficial microorganisms that protect crops from diseases.,How does organic matter protect crops from diseases?,Compost has also been shown to contain beneficial microorganisms that help to protect crops from disease-causing organisms.
62,Enough water to hold together but not drip.,What is the recommended moisture content during composting?,Water enough to hold the mix together but short of actual dripping is essential for aeration during composting.
63,Those with an appropriate balance of carbon to nitrogen.,What types of ingredients should be selected for composting?,Selection of appropriate ingredients is necessary to give the appropriate range of carbon to nitrogen.
64,To ensure aerobic environment and mitigate ammonia emissions.,Why is regular turning of compost necessary?,Regular turning with specialized windrow turning equipment is necessary to ensure an aerobic environment and mitigate ammonia emissions in the early stages of composting.
65,In a designated site on the farm.,How should large composting operations be conducted to avoid water contamination?,It is recommended that composting is carried out in a designated site on the farm to mitigate contamination risks.
66,Protects crops and provides a vital soil food source.,What benefits are associated with the biological decomposition of organic matter?,Microbial decomposition of organic matter helps to protect crops from disease-causing organisms and provides a vital food source for soil life.
67,It contains all nutrients needed by plants and improves soil structure.,What does a well-balanced nutrient source mean in organic compost?,"Organic matter is a well-balanced source of all nutrients needed by plants, improving soil structure and fertility."
68,New organisms colonize and transform the compost.,What happens during the second phase of composting?,"In the second phase, new groups of organisms colonize the heap, feeding on heat-loving organisms and transforming the compost."
69,To ensure effective aeration and turning.,Why should windows in composting operations be no higher than 4m?,Windows higher than 4m limit the effectiveness of turning equipment and increase the risk of the compost not being properly aerated.
70,Regular turning and separating the windrow base.,What process can prevent severe soil compaction in a compost site?,Regular turning and separating the compost windrow base from the surrounding area help prevent severe soil compaction.
71,"Rises to 60°C within a week, then drops after 14 days.",Describe the temperature changes in a compost heap within the first two weeks.,"Within a week, temperature increases to about 60°C. After approx 14 days, it begins to drop as organic matter breaks down."
72,It ensures microbial activity and prevents toxic compound production.,Why is water management important during the composting process?,"Proper watering ensures enough moisture for microbial activity without causing anaerobic conditions, which could produce toxic compounds."
73,"Recycles nutrients, supports healthy soil life and structure.",What role does organic matter play in soil fertility management for organic farms?,"Organic matter aids in recycling nutrients and balancing soil nutrient levels, progressing through microbial decomposition to support healthy soil life and structure."
74,"Turning disperses ammonia gas, reducing atmospheric emissions.",How does compost help in reducing emissions of ammonia?,"Turning the compost heap at the right frequency helps to disperse ammonia gas, which could otherwise be emitted in large quantities, into the atmosphere."
75,Well shredding,What increases the surface area on which microorganisms can act to degrade the material?,"important that the ingredients, particularly those with a relatively high carbon content like wood chips, are well shredded. This increases the surface area on which microorganisms can act to degrade the material."
76,"The mix of ingredients at the start of the composting process affects oxygen, moisture, carbon, and nitrogen levels in the heap.",Why is the mix of ingredients at the start of the composting process significant?,"The nature of the ingredients at the start of the process will have a bearing on oxygen, moisture, carbon and nitrogen in the heap during the process."
77,20:1 to 40:1,What is the recommended carbon to nitrogen ratio (C:N ratio) of the mixed ingredients?,The carbon to nitrogen ratio (C:N ratio) of the mixed ingredients should be between 20:1 and 40:1.
78,50-65%,What percentage of moisture content is recommended for compost ingredients?,The moisture content 50-65 per cent.
79,A front-end loader and FYM spreader,What equipment can be initially used to construct the compost heap?,A front-end loader and FYM spreader fitted with rear doors can be used initially to construct the heap.
80,Regular turning of windrows,What should be done regularly with the compost heap during the process?,"However, regular turning of windrows to produce good compost may make the purchase of specialist turning equipment worthwhile."
81,The volume of compost to be produced,What influences the cost of equipment for composting?,The cost of equipment will vary depending on the volume of compost to be produced.
82,To ensure that the necessary microorganisms are present,Why is it advisable to add some soil and ready-made compost to the heap?,It is advisable to add some soil and ready-made compost to the heap to ensure that the microorganisms needed for the process are present.
83,Table 9,What table contains information on the C:N ratio of potential ingredients?,For further information on the C:N ratio of potential ingredients see Table 9 (below).
84,11:1-13:1,What is the C:N ratio range for vegetable matter?,Vegetable matter 11:1-13:1
85,Horse manure,What compost material has a C:N ratio of 20:1-50:1?,Horse manure 22:1-50:1
86,8-10%,What is the percentage of dry matter for hay?,Hay 15:1-32:1 8-10
87,Sawdust,Which compost ingredient has a carbon to nitrogen ratio of 200:1-750:1?,Sawdust 200:1-750:1
88,Turning and temperature should be monitored,What should be monitored during the first phase of the composting process?,"During the first phase of the process, turning should take place regularly (twice a week) and temperature should be monitored."
89,Once a week,How often should turning occur after the initial heat build-up phase?,"After the initial phase of heat build up, turnings can become less frequent, perhaps once a week."
90,They involve maintaining oxygen in the pile by regular turning.,Why are aerobic composting methods typically used?,"Aerobic windrow composting is the most popular composting method, and involves maintaining oxygen in the pile by regular turning."
91,The length of time needed to mature is debated and standards are under review.,What determines if the compost has finished and is ready?,"There is some debate over the length of time needed to mature a compost, and Soil Association standards relating to compost are currently under review."
92,"Finished compost contains stabilized nutrients and is resistant to pathogens, retaining its value.",How does finished compost benefit soil?,If the process has been carried out effectively then the compost will contain stabilised nutrients and will be resistant to colonisation by pathogens. It will therefore remain of value for some time.
93,Stabilising at ambient temperatures,What temperature indication shows that the compost process is complete?,"The key measure in assessing that the process is finished is temperature. After the initial rise, the temperature will fall before stabilising at ambient temperatures."
94,"It is dark-brown, friable, and not malodorous.",What does the final product of compost visually indicate when it is finished?,"When the breakdown process is complete, the compost will be a dark-brown colour, friable and not giving off any unpleasant odour."
95,"Compost stabilizes nutrients, is pathogen-free, and improves soil structure.",What are the benefits of compost in soil applications?,"Compost has three great benefits in terms of application. It contains stabilised nutrients, so there is only a very low risk of leaching, it is free of human pathogens, and it helps to improve soil structure."
96,Temperature and carbon dioxide levels,What factors should be recorded to ensure the composting process is progressing properly?,In order to ensure the process is progressing appropriately a number of parameters such as temperature and carbon dioxide should be recorded.
97,Adding soil and ready-made compost to the heap,What indicates that the microorganisms needed for the compost process are present?,It is advisable to add some soil and ready-made compost to the heap to ensure that the microorganisms needed for the process are present.
98,Layered alternately with nitrogenous materials and carbon-based materials to bind minerals and humic acids,How should carbon-based materials be layered in the compost heap?,"Place carbon-based material such as straw at the base, followed by a layer of more nitrogenous material, such as vegetable waste, before another carbon-based layer above to bind minerals and humic acids."
99,Shredding increases the surface area for microorganisms to degrade the material.,Why is it important to shred ingredients with high carbon content?,"important that the ingredients, particularly those with a relatively high carbon content like wood chips, are well shredded. This increases the surface area on which microorganisms can act to degrade the material."
100,About 80 percent,What proportion of potassium (K) becomes available from manure in the year of application?,"The N:P ratio of manures is significantly smaller than the N:P uptake ratio of most crops. Manure application to provide K may therefore over supply P. Most of the nutrients in farmyard manure become available in the year of application, about 80 percent of K..."
101,"60% DM, 30 Kg N/t, 25 Kg P2O5/t",What is the nitrogen content of poultry litter as per Table 10?,"Table 10: Nitrogen content of manure

Fresh manure

% DM
Kg N/t
Kg P2O5/t

Poultry litter

60
30
25
"
102,Legumes help improve soil fertility and are a great source of organic nitrogen.,What is the benefit of legumes for soil fertility mentioned?,"The benefit of legumes for soil fertility has been known for centuries. White clover has been part of the Norfolk four course rotation, and other legumes since the 17th century, and cover crops have been an integral farming tool."
103,Soluble (plant-available) and organic,What are the two forms of nitrogen present in fresh manures?,Nitrogen is present in fresh manures in both soluble (plant-available) and more stable organic forms.
104,Rhizobia,What type of bacteria is essential for the nitrogen fixation process in legumes?,"Legumes root module is like a miniature biological factory: it contains large numbers of root nodule bacteria, known as Rhizobia."
105,Nitrogen fixation is the process of converting atmospheric nitrogen into ammonia by Rhizobia bacteria in legumes.,What is nitrogen fixation?,"The legume root nodule is like a miniature biological factory: it contains large numbers of root nodule bacteria, known as Rhizobia. Rhizobia produce an enzyme which helps in the conversion of atmospheric nitrogen into ammonia."
106,"It is influenced by soil microbial status and temperature, and composts release nutrients slowly.",Why is the timing of compost application crucial?,"However, nutrient release from compost will be gradual and is substantially influenced by the microbial status of the soil and soil temperature. Composts do not have a significant direct effect on K or P availability."
107,Run-off and leaching,What leads to the loss of nitrogen in the soil?,"The soluble forms, nitrate and ammonium, can be lost in run-off and leaching."
108,"It depends on the type and diet of livestock, bedding used, and the manure production system.",How does the amount of organic matter and nutrients in manure depend on livestock?,"The amount of organic matter and nutrients in manure will depend on livestock type and diet, bedding used and the manure production system (solid or slurry)."
109,"Minimizing the spread of weed seeds and destroying weed seeds can help, along with the proper microbial status of the soil.",What practices can help achieve minimization of nitrogen losses during composting?,"Lastly, the composting process can be very effective in destroying weed seeds, minimizing the spread of weed seeds back to crop land. However, nutrient release from compost will be gradual and is substantially influenced by the microbial status of the soil and soil temperature."
110,To decrease the loss of nitrogen as ammonia,Why should the application of manure to arable crops be rapidly incorporated?,Arable crops. Rapid incorporation after application decreases the loss of nitrogen as ammonia.
111,Microbial status of the soil and soil temperature,What factors can influence the nutrient release from compost?,Composting does not have a significant direct effect on K or P availability.
112,They prevent loss of nitrate through leaching by using available nitrogen.,How do cover crops aid in nitrogen management?,Cover crops are grown over winter to prevent loss of nitrate through leaching by using any available N.
113,Apply solid manure in autumn/winter or slurries in spring.,What is an example of good manure management in grassland applications?,Grassland: Apply solid manure in autumn/winter or slurries in spring.
114,Avoid application on frozen ground and near water courses.,What are the examples of manures that are used in frozen ground?,Avoid applications on frozen ground and near water courses.
115,Soluble (plant-available) and organic forms.,What forms of nitrogen are present in fresh manure?,Nitrogen is present in fresh manures in both soluble (plant-available) and more stable organic forms.
116,4 Kg N/t,What is the nutrient content of pig slurry manure in Kg N/t?,"Table 10: Nitrogen content of manure

Fresh manure

Pig slurry

4
4
2"
117,Slowly available nutrients minimize nitrogen loss and provide a steady release of nutrients.,Why are slowly available nutrients in compost more beneficial?,"Composts are stable products formed from manures and other organic materials, where nitrogen is converted into more stable forms. Therefore, it is not as a good a source of instant nitrogen as fresh manure but releases nutrients slowly."
118,The amount of material applied influences nutrient availability.,What dictates the availability of nutrients from compost?,"All of the nutrients in farmyard manure become available in the year of application, about 80 per cent of K is available but only about one quarter of the N becomes available in this period."
119,Reduces the loss of nitrogen as ammonia,What is the advantage of rapidly incorporating manure into arable crops?,Rapid incorporation after application decreases the loss of nitrogen as ammonia.
120,"Legumes, with the help of Rhizobia bacteria, fix nitrogen from the atmosphere into their root nodules.",How is the nitrogen fixation process initiated in legume crops?,There are three different types of legume root nodule ‘fixers’… Fixers are legumes that fix nitrogen from the atmosphere into their root nodules.
121,About one quarter,What percentage of nitrogen (N) becomes available in the first year of manure application?,"All of the nutrients in farmyard manure become available in the year of application, about 80 per cent of K is available but only about one quarter of the N becomes available in this period."
122,It does not significantly affect K or P availability. Amount of material applied is more crucial.,What is the important aspect of composting in relation to nutrient release?,Composting does not have a significant direct effect on K or P availability. The availability is more related to the amount of material applied than to whether it is applied in the form of manure or compost.
123,Quick incorporation after application,What is the recommended practice for applying manure to arable crops?,Arable crops. Rapid incorporation after application decreases the loss of nitrogen as ammonia.
124,Delayed applications can lead to increased nitrogen utilization by crops.,What is the risk involved in delaying applications of manure?,Delaying applications (in particular those with a high proportion of readily available N) until late winter or spring will increase N utilisation by the crop.
125,Grass/clover leys,What are the principal fertility building legumes in temperate organic systems?,Page 24
126,Up to two years,How long should red clover ley be maintained for short-term fertility?,Page 24
127,Red clover,What is a common legume used alone or with grass?,Page 24
128,Mustard,What plant species is recommended in rotations to provide organic material?,Page 24
129,Rhizoctonia solani,Which plant pathogen can be found in dirty green manures?,Page 24
130,Annually if possible,What is the recommended minimum period for red clover to be used to avoid soil borne pest build up?,Page 24
131,Cover crops,What involves improved soil structure through organic matter addition?,Page 24
132,Nitrogen transfer between legumes and other crops,What typically provides nitrogen fertility in grazed leys?,Page 24
133,Reduces soil borne pests,What is the impact of mustard on soil borne pests?,Page 24
134,C:N ratio,What balance ratio can incorporation achieve with recycled crop residues?,Page 24
135,Provides food source for soil microbial life,What is the benefit of additional green manures over the winter?,Page 24
136,By improving soil structure and providing habitat for soil organisms.,How do cover crops benefit the soil environment during offseasons?,Page 24
137,"Factors to consider include the C:N ratio of the green manure material, its breakdown characteristics, and its availability of nutrients other than nitrogen.",What factors should be considered when selecting green manures and cover crops to synchronize nutrients?,Page 24
138,They provide food sources and habitats for both above and below-ground vertebrates and invertebrates.,What are the benefits of increased biodiversity in using green manures and cover crops?,Page 24
139,Soil nitrogen,What can incorporation of straw temporarily immobilize in soil?,Page 24
140,They could negatively impact crops later if not phased correctly.,Why is it important to plan the green manures and cover crops carefully?,Page 24
141,"They can harbor plant pathogens and immobilize nitrogen, affecting subsequent crops.",What are some risks of using dirty green manures?,Page 24
142,"By adding organic material that enhances rooting depth, leading to better soil structure.",How does the organic matter from green manures contribute to soil structure improvement?,Page 24
143,White clover ley,What are the most common grass/clover leys used in mixed systems?,Page 24
144,Red clover is used when longer periods than three years are intended or when it needs to fix more nitrogen than what white clover provides initially.,Describe the conditions under which the red clover will be used instead of white clover.,Page 24
145,"Green manure compost is used to improve soil fertility and structure due to the organic matter it adds to soils, offering habitats for soil organisms and controlling weeds and pests.",What is green manure compost used for and how does it benefit soil?,Page 24
146,"They should be synchronized with the mineralization of nutrients, especially in early growth periods when nutrient need is high, to avoid soil nitrogen immobilization.",What are the key points to remember when incorporating green manures rich in C:N ratio into the soil?,Page 24
147,"They offer habitats for both above and below-ground vertebrates and invertebrates, supporting a diverse ecological system.",How do green manures benefit wildlife and biodiversity?,Page 24
148,"They act as principal fertility-building legumes, providing nitrogen and organic matter to the soil.",What is the role of grass/clover leys in organic farming systems?,Page 24
149,12,What sowing rate (kg/ha) is recommended for Fodder rape (Brassica napus)?,Fodder rape Brassica napus Good cover crop for growth and nitrate uptake 12
150,Early September,During which month should Mustard (Sinapis alba) be sown?,Mustard Sinapis alba The best known quick growing cover crop. Can be killed by first frosts Early September
151,Phacelia (Phacelia tanacetifolia),Which manure crop is known for its strong rooting system?,Phacelia Phacelia tanacetifolia Known for its ability to smother weeds. Strong rooting system 10 10 Mid August
152,Moderate,What is the drought tolerance of Rye (Secale cereale)?,Rye Secale cereale A very popular winter hardy species 140 30 Early October Good Moderate 5.8–8.0
153,4.5–8.2,What is the pH tolerance range for Red clover (Trifolium pratense)?,Red clover Trifolium pratense Suitable for one or two years cover. Deep taproot improves soil 14 5 Early September Good Good 4.5–8.2 (6.2–7.0)
154,2–3 months,How long can Crimson clover (Trifolium incarnatum) be grown?,Crimson clover Trifolium incarnatum Tall growing species. Sown in summer for 2–3 months 14 10 Mid September Poor Moderate 4.8–8.2 (5.7–6.4)
155,Stubble turnips (Brassica rapae),Which crop must be sown by early August?,Stubble turnips Brassica rapae Must be sown by early August 5 10 Early August Good Moderate 5.6–8.0 (6.5)
156,"Winter hardiness: Good, Drought tolerance: Moderate",What are the winter hardiness and drought tolerance of Fodder rape (Brassica napus)?,Fodder rape Brassica napus Good cover crop for growth and nitrate uptake 12 10 Early September Good Moderate 5.0–8.0 (6.5)
157,Mustard (Sinapis alba),Which crop is known as the best quick growing cover crop?,Mustard Sinapis alba The best known quick growing cover crop. Can be killed by first frosts 24 10 Early September
158,Rye (Secale cereale),Which green manure crop is very popular as a winter hardy species?,Rye Secale cereale A very popular winter hardy species 140 30 Early October Good Moderate 5.8–8.0
159,The deep taproot improves soil.,What is the significance of the deep taproot in Red clover (Trifolium pratense)?,Red clover Trifolium pratense Suitable for one or two years cover. Deep taproot improves soil 14 5 Early September Good Good 4.5–8.2 (6.2–7.0)
160,10 mm,What seeding depth (mm) is used for Mustard (Sinapis alba)?,Mustard Sinapis alba The best known quick growing cover crop. Can be killed by first frosts 24 10 Early September
161,Very good nitrogen fixer,What kind of nitrogen fixer is Vetch (Vicia sativa)?,"Vetch Vicia sativa A very good nitrogen fixer that can be sown with rye, ryegrass or cereals 60–120 30 End September Good Moderate 4.5–8.2 (6.2)"
162,Mid August,When should White clover (Trifolium repens) be sown?,White clover Trifolium repens For longer term situation. A very good low growing fertility builder 10 5 Mid August Good Good 4.5–8.2 (6.2–7.0)
163,Perennial,What is the life cycle of Red clover (Trifolium pratense)?,Red clover Trifolium pratense Suitable for one or two years cover. Deep taproot improves soil 14 5 Early September Good Good 4.5–8.2 (6.2–7.0)
164,"Sowing rate: 5 kg/ha, Sowing depth: 10 mm",What are the sowing rate and sowing depth for Stubble turnips (Brassica rapae)?,Stubble turnips Brassica rapae Must be sown by early August 5 10 Early August Good Moderate 5.6–8.0 (6.5)
165,Stubble turnips (Brassica rapae),Which green manure crop needs to be sown by early August?,Stubble turnips Brassica rapae Must be sown by early August 5 10 Early August Good Moderate 5.6–8.0 (6.5)
166,4.8–8.2 (Optimal: 5.7–6.4),Which are the pH tolerances of Crimson clover (Trifolium incarnatum)?,Crimson clover Trifolium incarnatum Tall growing species. Sown in summer for 2–3 months 14 10 Mid September Poor Moderate 4.8–8.2 (5.7–6.4)
167,Known for its ability to smother weeds; Strong rooting system,What comments are given for Phacelia (Phacelia tanacetifolia) in the table?,Phacelia Phacelia tanacetifolia Known for its ability to smother weeds. Strong rooting system 10 10 Mid August Poor Moderate 5.8–8.0
168,"Sowing rate: 140 kg/ha, Sowing depth: 30 mm",What are the sowing rate and sowing depth for Rye (Secale cereale)?,Rye Secale cereale A very popular winter hardy species 140 30 Early October Good Moderate 5.8–8.0
169,30 mm,What is the seeding depth for Vetch (Vicia sativa)?,"Vetch Vicia sativa A very good nitrogen fixer that can be sown with rye, ryegrass or cereals 60–120 30 End September Good Moderate 4.5–8.2 (6.2)"
170,"Crimson clover is a tall growing species, sown in summer for 2–3 months. It has poor winter hardiness and moderate drought tolerance, with a pH tolerance range of 4.8–8.2 (optimal 5.7–6.4).",Describe the characteristics of Crimson clover (Trifolium incarnatum) as given in the table.,Crimson clover Trifolium incarnatum Tall growing species. Sown in summer for 2–3 months 14 10 Mid September Poor Moderate 4.8–8.2 (5.7–6.4)
