,ANSWER,QUESTION.question,QUESTION.paragraph
22,Angiosperms,What is the clade of Eucalyptus grandis?,Clade : Angiosperms
23,Light yellowish-brown.,What is the color of Eucalyptus wood?,"The wood is light yellowish-brown colour, moderately durable."
24,"Orchards, pastures, roads, and for environment conservation.",Where are Eucalyptus trees commonly planted?,"It has also been planted as windbreak and shelter belts along the orchards, pastures, roads, and also for environment conservation purposes."
25,"Food, perfumery, and pharmaceutical industry.",For what purposes is Eucalyptus essential oil used?,"Eucalyptus essential oil is used in food, perfumery and pharmaceutical industry."
26,"Beautiful, tall, evergreen, and majestic tree.",What type of tree is Eucalyptus?,"Eucalyptus is a beautiful, tall, evergreen, and majestic tree with rapid growth and adaptability to a variety of ecological conditions."
27,They produce abundant pollen and nectar.,Why are Eucalyptus flowers important for apiculture?,The eucalyptusflowers produce abundant pollen and nectar suitable for apiculture.
28,"Used for paper, pulp, firewood, and timber.",What is the significance of Eucalyptus in timber industry?,"It is a widely cultivated tree species of industrial importance, mainly for paper, pulp, firewood, and timber purpose."
29,"Windbreaks, shelter belts, erosion control, salinity control, reduce CO2 levels.",What are the ecological benefits of planting Eucalyptus trees?,"It has also been planted as windbreak and shelter belts along the orchards, pastures, roads, and also for environment conservation purposes such as erosion, salinity control and to reduce atmospheric carbon dioxide levels."
30,"Anti-microbial, fungicidal, insecticidal, insect repellent, herbicidal, acaricidal, nematocidal.",What are some biological activities of Eucalyptus essential oil?,"Eucalyptus essential oil possesses a wide spectrum of biological activity including anti-microbial, fungicidal, insecticidal/insect repellent, herbicidal, acaricidal and nematocidal properties."
31,Plantae,What is the kingdom classification of Eucalyptus grandis?,Kingdom : Plantae
32,Eucalyptus flowers provide abundant pollen and nectar.,How are Eucalyptus trees beneficial to beekeeping?,The eucalyptusflowers produce abundant pollen and nectar suitable for apiculture.
33,grandis,What is the species name of Eucalyptus?,Species : grandis
34,It adapts to a variety of ecological conditions.,What type of habitats is Eucalyptus adaptable to?,"Eucalyptus is a beautiful, tall, evergreen, and majestic tree with rapid growth and adaptability to a variety of ecological conditions."
35,"Paper, pulp, firewood, and timber industries.",What industry's key uses involve Eucalyptus pulp and wood?,"It is a widely cultivated tree species of industrial importance, mainly for paper, pulp, firewood, and timber purpose."
36,"Windbreaks, salinity control, erosion control, reducing atmospheric CO2.",How does Eucalyptus aid in environmental conservation?,"It has also been planted as windbreak and shelter belts along the orchards, pastures, roads, and also for environment conservation purposes such as erosion, salinity control and to reduce atmospheric carbon dioxide levels."
37,Its essential oil is widely used in perfumery.,What role does Eucalyptus grandis play in the perfumery industry?,"Eucalyptus essential oil is used in food, perfumery and pharmaceutical industry."
38,"It is a tall, evergreen tree with rapid growth and adaptability.",What is the general appearance and growth characteristics of Eucalyptus?,"Eucalyptus is a beautiful, tall, evergreen, and majestic tree with rapid growth and adaptability to a variety of ecological conditions."
39,Eucalyptus is native to Australia.,Where is Eucalyptus native to?,"3.2 Distribution
Eucalyptus is native to Australia..."
40,Mysore Emperor (Tipu Sultan),Who introduced Eucalyptus in Karnataka?,"3.2 Distribution
In India, it was first introduced in the state of Karnataka..."
41,Corticium salmonicolor,What is pink disease in Eucalyptus caused by?,"3.2 Common diseases
Stem cankers caused by the fungal species Corticium salmonicolor (pink disease)..."
42,Poor seedling emergence due to killing of the seed before germination or by invasion of seedling radicles and hypocotyls,What are the symptoms of Pre- and Post-emergence damping off?,"3.4.1 Pre- and Post-emergence damping off (Phytophthora spp.)
Symptoms:
Poor seedling emergence due to killing of the seed..."
43,"Fungal species such as Corticium salmonicolor, Chrysosporium cubensis, and Botryosphaeria dothidea",What diseases cause stem cankers in Eucalyptus?,"3.2 Common diseases
Stem cankers caused by the fungal species Corticium salmonicolor (pink disease), Chrysosporium cubensis, Botryosphaeria dothidea..."
44,Plant Diseases in Agroforestry: A Ready Reckoner,What publication contains a detailed section titled 'Common diseases'?,"3.2 Common diseases
Eucalyptus is attacked by various tree pathogens to cause severe losses at nursery..."
45,Cylindrocarpon lucidum,Which fungal species causes root rot in Eucalyptus?,"3.2 Common diseases
Root rot (Cylindrocarpon lucidum)..."
46,"Tropical and temperate climates in America, Europe, Africa, the Mediterranean Basin, the Middle East, China, and the Indian subcontinent",Which climates support the growth of Eucalyptus as stated in the text?,"3.2 Distribution
It is distributed widely in the tropical and temperate world including the America, Europe, Africa, the Mediterranean Basin, the Middle East, China, and the Indian subcontinent..."
47,"Diseases like Macrocosmospora megalospora, Thyronectria pseudotrichia, Hysterium angustatum, and Natttassa toruloidea",What causes timber quality loss in Eucalyptus?,"3.2 Common diseases
Macrocosmospora megalospora, Thyronectria pseudotrichia, Hysterium angustatum, Natttassa toruloidea cause major loss to timber quality and quantity..."
48,Little leaf,Name a disease of Eucalyptus caused by Phytoplasma.,"3.2 Common diseases
Little leaf (Phytoplasma)..."
49,"Stem cankers caused by fungal species such as Corticium salmonicolor, Chrysosporium cubensis, and Botryosphaeria dothidea at the nursery level can lead to fear of plantation program failure.",Which diseases increase the risk of plantation program failure in nurseries?,"3.2 Common diseases
Stem cankers caused by the fungal species Corticium salmonicolor (pink disease)... create a fear of failure of entire plantation program..."
50,Killing of seed before germination or invasion of seedling radicles and hypocotyls,What factors contribute to poor seedling emergence in Eucalyptus?,"3.4.1 Pre- and Post-emergence damping off (Phytophthora spp.)
Symptoms:
Poor seedling emergence due to killing of the seed before germination..."
51,Phaeoseptoria eucalypti,Which species causes leaf spots in Eucalyptus?,"3.2 Common diseases
Other diseases like leaf spots (Phaeoseptoria eucalypti)..."
52,Fusarium oxysporum,What pathogens contribute to Eucalyptus vascular wilt?,"3.2 Common diseases
Vascular wilt (Fusarium oxysporum)..."
53,Around 700 species,How many species of Eucalyptus are cultivated worldwide?,"3.2 Distribution
... the genus is represented by around 700 other species that are cultivated throughout the world."
54,Leaf blight (Coniella australiensis) has a seasonal impact.,What is the impact of leaf blight on Eucalyptus according to the document?,"3.2 Common diseases
... leaf blight (Coniella australiensis) are seasonal."
55,"Andhra Pradesh, Bihar, Goa, Daman and Diu, Gujarat, Haryana, Kerala, Madhya Pradesh, Maharashtra, Punjab, Tamil Nadu, Uttar Pradesh, West Bengal",Which regions in India cultivate Eucalyptus?,"3.2 Distribution
... and now widely cultivated in Andhra Pradesh, Bihar, Goa, Daman and Diu, Gujarat, Haryana, Kerala, Madhya Pradesh, Maharashtra, Punjab, Tamil Nadu, Uttar Pradesh and West Bengal."
56,"Pink disease, valsa canker, and vascular wilt","Which disease affects the entire plant and causes severe losses to Eucalyptus at nursery level, also creating a fear of failure for entire plantation program?","3.2 Common diseases
Eucalyptus is attacked by various tree pathogens to cause severe losses... Valsa eucalypti (valsa canker)... diseases such as pink disease, valsa canker and vascular wilt create a fear of failure of the entire plantation program..."
57,Plant Diseases in Agroforestry: A Ready Reckoner,What document is the paragraph describing the distribution and common diseases of Eucalyptus extracted from?,"Cover page as provided
Plant Diseases in Agroforestry: A Ready Reckoner covers these topics."
58,Section 3.2 details the fungal diseases affecting Eucalyptus.,Which sections of the document describe the fungal diseases affecting Eucalyptus?,"3.2 Common diseases
Stem cankers caused by the fungal... and leaf blight (Coniella australiensis)."
59,Web blight (Rhizoctonia solani),What disease leads to stems becoming water-soaked in plants?,Stems become water-soaked due to tissue invasion and cell maceration.
60,Plants fall over and die in patches.,What are the observed effects of web blight on plants?,Plants fall over leading to the death of plants in patches.
61,Web blight,Which blight is caused by Rhizoctonia solani?,3.4.2 Web blight (Rhizoctonia solani)
62,Soil drenching with copper oxychloride 50% WP @ 2g/litre.,What management practice involves using copper oxychloride?,Soil drenching with copper oxychloride 50% WP @ 2g/litre.
63,Potting mixture,What is used for soil solarisation before use?,Soil solarisation of the potting mixture before use.
64,Fosetyl aluminium 80% WP,Which chemical is drenched in soil to manage web blight?,Drench the soil with fosetyl aluminium 80% WP @ 20-50g/20 litre water.
65,Soil drenching with fosetyl aluminium 80% WP.,What practice uses fosetyl aluminium for disease management?,Drench the soil with fosetyl aluminium 80% WP @ 20-50g/20 litre water.
66,50% WP @ 2g/litre.,How often should copper oxychloride be used during a soil drench?,Soil drenching with copper oxychloride 50% WP @ 2g/litre.
67,To ensure adequate drainage and reduce disease spread.,Why is proper ventilation necessary in plant management?,Proper ventilation and adequate drainage facility at nursery site.
68,Tissue invasion and cell maceration.,What causes the stems to become water-soaked in plants affected by blight?,Stems become water-soaked due to tissue invasion and cell maceration.
69,Pathogen-free propagating material.,What is recommended to use when preparing propagating material?,Use of pathogen-free propagating material.
70,Soil fumigation with formalin.,What should be considered for soil fumigation in terms of web blight management?,Soil fumigation with formalin.
71,It causes plants to fall over and die in patches.,How does Rhizoctonia solani affect the physical appearance of plants?,Plants fall over leading to the death of plants in patches.
72,"A healthy leaf is green and intact, while affected foliage shows brown spots and decay.",What are the visual differences in a healthy Nilgiri leaf compared to one affected by blight?,Illustration showing a healthy Nilgiri leaf and blight affected foliage.
73,To reduce pathogen load in the soil mix.,Why is soil solarisation important before using the potting mixture?,Soil solarisation of the potting mixture before use.
74,Ensure proper ventilation and adequate drainage.,What should be done to the nursery site to ensure proper management of web blight?,Proper ventilation and adequate drainage facility at nursery site.
75,Drench the soil with fosetyl aluminium 80% WP solution.,How can the soil be treated to control Rhizoctonia solani?,Drench the soil with fosetyl aluminium 80% WP @ 20-50g/20 litre water.
76,It prevents the introduction of diseases.,What does the use of pathogen-free propagating material prevent?,Use of pathogen-free propagating material.
77,To prevent water accumulation that can promote disease.,"In managing web blight, why is adequate drainage important?",Proper ventilation and adequate drainage facility at nursery site.
78,Affected foliage exhibits brown spots and decay.,What visual indicators can confirm the presence of Rhizoctonia solani?,Illustration showing a healthy Nilgiri leaf and blight affected foliage.
79,Water-soaked lesions are a symptom of a plant disease.,What are the water-soaked lesions in the plant a symptom of?,"Symptoms:
➤ Water-soaked lesions in the plant, necrosis and blightening of leaves"
80,Potting mixture should be solarised before use.,What step should be taken before using potting mixture in severely infected nurseries?,"Management:
➤ Soil solarisation of potting mixture before use"
81,Ralstonia solanacearum is associated with bacterial wilt.,What is Ralstonia solanacearum associated with in this document?,3.4.3 Bacterial wilt (Ralstonia solanacearum)
82,Soil drenching with copper oxychloride 50% WP @ 2g/litre.,What is the management technique involving copper oxychloride for infected plants?,"Management:
➤ Soil drenching with copper oxychloride 50% WP @ 2g/litre"
83,Propiconazole @25% EC 1 ml/litre.,What concentration of Propiconazole is recommended for use in heavily infected nurseries?,"Management:
➤ Spray Propiconazole @25% EC 1 ml/litre in severely infected nurseries"
84,"Necrosis and blightening of leaves, along with water-soaked lesions, indicate a disease in plants.",Describe the symptoms of plant disease involving necrosis and blightening of leaves.,"Symptoms:
➤ Water-soaked lesions in the plant, necrosis and blightening of leaves"
85,Seedlings and young plantations wilt and eventually die due to plant disease.,What happens to seedlings and young plantations affected by plant disease?,"Symptoms:
➤ Wilting and subsequent death of the seedlings/young plantations"
86,Soil fumigation with formalin is a management technique.,What management technique includes formalin?,"Management:
➤ Soil fumigation with formalin"
87,Mycelium forms a web at the infection site.,What is the symptom related to the mycelium at the infection site?,"Symptoms:
➤ Web of mycelium at the infection site"
88,Heavy defoliation indicates a severe plant disease.,What is indicative of heavy defoliation in a plant?,"Symptoms:
➤ Heavy defoliation"
89,Infected seedlings and plants show drooping and drying of leaves without yellowing.,What does the symptom 'drooping and drying of leaves' indicate in plants?,"Symptoms:
➤ Infected seedlings and plants show drooping and drying of leaves with out yellowing"
90,Young plants die showing no recovery even after irrigation.,What symptom shows that young plants are not recovering after irrigation?,"Symptoms:
➤ Young plants die showing no recovery even after irrigation"
91,Wilt affected wood shows profuse oozing of bacteria from the cut surface.,What does profuse oozing of bacteria from wilt affected wood indicate?,"Symptoms:
➤ Wilt affected wood shows profuse oozing of bacteria from the cut surface"
92,"Symptoms include drooping and drying of leaves without yellowing, death of young plants without recovery after irrigation, and profuse oozing of bacteria from wilt affected wood.",What are the symptoms of bacterial wilt in plants?,"3.4.3 Bacterial wilt (Ralstonia solanacearum)
Symptoms:
➤ Infected seedlings and plants show drooping and drying of leaves with out yellowing
➤ Young plants die showing no recovery even after irrigation
➤ Wilt affected wood shows profuse oozing of bacteria from the cut surface"
93,"To manage bacterial wilt caused by Ralstonia solanacearum, soil solarisation of potting mixture should be done before use.",What measures should be taken to manage bacterial wilt caused by Ralstonia solanacearum?,"Management:
➤ Soil solarisation of potting mixture before use"
94,"Management strategies for handling plant diseases include soil solarisation, sterilization of plastic pots/tubes, soil fumigation with formalin, soil drenching with copper oxychloride, and spraying Propiconazole.",What are some management strategies included in the text for handling plant diseases?,"Management:
➤ Soil solarisation of potting mixture before use
➤ Sterilization of plastic pots/tubes
➤ Soil fumigation with formalin
➤ Soil drenching with copper oxychloride 50% WP @ 2g/litre
➤ Spray Propiconazole @25% EC 1 ml/litre in severely infected nurseries"
95,Soil solarisation of potting mixture before use should be done to prevent plant diseases.,What should be done before using potting mixtures to prevent plant diseases?,"Management:
➤ Soil solarisation of potting mixture before use"
96,"Symptoms of plant diseases include water-soaked lesions, necrosis, blightening of leaves, heavy defoliation, wilting, death of seedlings/young plantations, and a web of mycelium at the infection site.",What are the symptoms of plant diseases present in the text?,"Symptoms:
➤ Water-soaked lesions in the plant, necrosis and blightening of leaves
➤ Heavy defoliation
➤ Wilting and subsequent death of the seedlings/young plantations
➤ Web of mycelium at the infection site"
97,An image comparison showcases healthy wood logs versus wilt affected plants and wood.,What image comparison showcases healthy wood logs versus wilt affected plants and wood?,"3.4.3 Bacterial wilt (Ralstonia solanacearum)
Healthy wood logs	Wilt affected plants and wood"
98,Plant diseases in agroforestry,What is the primary focus of the document 'Plant Diseases in Agroforestry'?,Technical Bulletin CAFRI/2021/02 - 'Plant Diseases in Agroforestry: A Ready Reckoner'
99,"Near Pahuj Dam, Gwalior Road, Jhansi, Uttar Pradesh",Where is the ICAR-Central Agroforestry Research Institute located?,"Near Pahuj Dam, Gwalior Road, Jhansi 284003, Uttar Pradesh, India"
100,CAFRI/2021/02,Which technical bulletin number corresponds to 'Plant Diseases in Agroforestry'?,Technical Bulletin CAFRI/2021/02
101,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam",Who are the authors of the document 'Plant Diseases in Agroforestry'?,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam"
102,Technical Bulletin,What type of document is 'Plant Diseases in Agroforestry'?,Technical Bulletin
103,Plant diseases in Agroforestry.,What is the main topic covered by the technical bulletin CAFRI/2021/02?,Plant Diseases in Agroforestry: A Ready Reckoner
104,"'Plant Diseases in Agroforestry: A Ready Reckoner', Technical Bulletin CAFRI/2021/02.",Identify the Ready Reckoner document related to Agroforestry research and its publication number.,Technical Bulletin CAFRI/2021/02
105,Plant diseases.,What kind of plant-related issues does the document address?,Plant Diseases in Agroforestry
106,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam",List the authors behind 'Plant Diseases in Agroforestry: A Ready Reckoner'.,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam"
107,Indian Council of Agricultural Research,What does ICAR stand for in the context of 'Plant Diseases in Agroforestry'?,ICAR-Central Agroforestry Research Institute
108,"Near Pahuj Dam, Gwalior Road, Jhansi, Uttar Pradesh",Where can one find the ICAR-Central Agroforestry Research Institute?,"Near Pahuj Dam, Gwalior Road, Jhansi 284003, Uttar Pradesh, India"
109,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam",Who authored the technical bulletin addressing plant diseases in Agroforestry?,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam"
110,"Near Pahuj Dam, Gwalior Road, Jhansi, Uttar Pradesh",What is the geographical location of ICAR-Central Agroforestry Research Institute as mentioned in 'Plant Diseases in Agroforestry'?,"Near Pahuj Dam, Gwalior Road, Jhansi 284003, Uttar Pradesh, India"
111,Technical Bulletin,What type of publication is 'Plant Diseases in Agroforestry: A Ready Reckoner' listed under?,Technical Bulletin CAFRI/2021/02
112,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam",Who are the researchers contributing to 'Plant Diseases in Agroforestry' from ICAR-Central Agroforestry Research Institute?,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam"
113,ICAR-Central Agroforestry Research Institute,Which research institute published the bulletin 'Plant Diseases in Agroforestry'?,ICAR-Central Agroforestry Research Institute
114,"Plant Diseases in Agroforestry: A Ready Reckoner by M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, A Arunachalam; Technical Bulletin CAFRI/2021/02",Give the full citation for the technical bulletin on plant diseases in agroforestry including the authors and publication number.,"Plant Diseases in Agroforestry: A Ready Reckoner by M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, A Arunachalam; Technical Bulletin CAFRI/2021/02"
115,ICAR-Central Agroforestry Research Institute,Which organization is primarily involved in the research featured in 'Plant Diseases in Agroforestry'?,ICAR-Central Agroforestry Research Institute
116,Authorship,State the contribution of M Ashajyothi in the technical bulletin CAFRI/2021/02.,M Ashajyothi is listed as one of the authors.
117,Plant Diseases in Agroforestry,What is described as 'A Ready Reckoner' in the document CAFRI/2021/02?,'Plant Diseases in Agroforestry' is described as 'A Ready Reckoner'.
118,Pink disease/stem canker,What disease is caused by Corticium salmonicolor?,3.4.4 Pink disease/stem canker (Corticium salmonicolor)
119,Web of mycelium on the stem,What is the symptom related to mycelium?,Web of mycelium on the stem and depression at the infected region
120,Plastic pots and planting tools,What type of tools should be sterilized?,Sterilization of plastic pots and planting tools
121,Die-back in seedlings,What symptom involves the stem showing die-back?,Stem above infected area show die-back in seedlings
122,10%,What percentage of bordeaux paste should be applied?,Application of bordeaux paste (10%) on the cut surface of stumps
123,Avoid wounding,What should be avoided to manage pink disease?,Avoid wounding
124,Apical shoot,Which tree part appears bushy due to pink disease?,Bushy appearance of the tree due to apical shoot damage
125,Heavily infected plants should be removed and disposed of.,How should infected plants be dealt with?,Removal and disposal of heavily infected plants
126,Soil drench with COC 50% WP involves using 20g in 10 litres of water around the tree base.,What treatment involves COC 50% WP?,Soil drench with COC 50% WP @20g in 10 litres water around tree base
127,Canker resistant planting material should be used to manage the disease.,What resistant material should be used in planting?,Use canker resistant planting material
128,Vertical bark splitting can occur along with stem girdling in infected areas.,How can vertical bark splitting occur?,Vertical bark splitting and stem girdling
129,Stem girdling along with vertical bark splitting is a symptom of pink disease.,What is the connection between stem girdling and pink disease?,Vertical bark splitting and stem girdling
130,One of the symptoms is the stem above the infected area showing die-back in seedlings.,What is one of the symptoms involving the stem in seedlings?,Stem above infected area show die-back in seedlings
131,"For soil drench treatment, use plantamycin 100mg/litre and copper oxychloride 50% WP at 2g/litre around the tree base.",What should be used for soil drench treatment for pink disease management?,Soil drench with plantamycin 100mg/litre and copper oxychloride 50% WP @ 2g/litre around tree base
132,The presence of a web of mycelium on the stem suggests depression at the infected region.,What physical symptom suggests depression at the infected region?,Web of mycelium on the stem and depression at the infected region
133,Bordeaux paste with a 10% concentration can be applied to the cut surface of stumps.,Which substance with bordeaux paste percentage can be applied to stumps?,Application of bordeaux paste (10%) on the cut surface of stumps
134,Heavily infected plants should be removed and disposed of to manage the spread.,How should heavily infected plants be managed?,Removal and disposal of heavily infected plants
135,Using canker resistant planting material helps in managing pink disease.,What type of planting material helps in managing pink disease?,Use canker resistant planting material
136,The method involves soil drench with plantamycin 100mg/litre and copper oxychloride 50% WP at 2g/litre around the tree base.,What is the method involving copper oxychloride for soil treatment?,Soil drench with plantamycin 100mg/litre and copper oxychloride 50% WP @ 2g/litre around tree base
137,A tree affected by pink disease appears bushy due to apical shoot damage.,Describe the appearance of a tree affected by pink disease.,Bushy appearance of the tree due to apical shoot damage
138,Tectona grandis,What is the scientific name for teak?,Teak (Tectona grandis)
139,Lamiaceae,To which family does the teak tree belong?,Family : Lamiaceae
140,Lamiales,What order does the teak tree belong to?,Order : Lamiales
141,Tectona,What is the genus of teak?,Genus : Tectona
142,Tracheophytes,Under which category of plants does teak fall?,Clade : Tracheophytes
143,By aiding in runoff control.,How does teak contribute to water conservation?,"maintain soil fertility, water conservation through runoff control."
144,Furniture and shipbuilding.,What are two primary uses of teak worldwide?,"used as furniture, shipbuilding and decorative components."
145,Due to its superior timber quality and durability.,Why is teak considered a potential commercial tree species?,superior timber quality and more importantly timber durability.
146,Its superior timber quality and high durability.,What is one of the main advantages of teak's timber?,high timber durability.
147,Carbon sequestration and maintaining environmental biodiversity.,What environmental service does teak provide?,"carbon sequestration, stand structural diversity to maintain environmental biodiversity"
148,Beautification and ornamentation.,What are some benefits of planting teak outside forest areas?,"beautification across the roadside/as ornamental outside forest areas,"
149,Maintaining soil fertility and enhancing microbial density.,What roles do teak trees play in enhancing soil and microbial features?,"subsequently maintain soil fertility, water conservation through runoff control."
150,By its potential to tolerate termite attacks and resist wood-decaying fungi.,How does teak contribute to controlling termite attacks?,Teak has the potential to tolerate termite attack and wood-decaying fungi.
151,Stand structural diversity and roadside beautification.,What are the structural diversities provided by teak?,"stand structural diversity to maintain environmental biodiversity, beautification across the roadside"
152,Its potential as a globally significant commercial tree species.,What is a significant benefit of teak in agroforestry?,a potential commercial tree species globally.
153,"Furniture, shipbuilding, and decorative components.",List three economic uses of teak.,"furniture, shipbuilding and decorative components."
154,"Enhancing soil microfauna diversity, microbial density, and water conservation.",What are some of the ecosystem services provided by teak?,"soil microfauna diversity and microbial density subsequently maintain soil fertility, water conservation"
155,Plantae,In which plant kingdom is teak classified?,Kingdom : Plantae
156,Roadside beautification and ornamental use.,What are some of the aesthetic benefits of teak trees?,beautification across the roadside/as ornamental outside forest areas
157,It's known for its superior timber quality and durability.,What role does teak play in the timber industry?,superior timber quality and more importantly timber durability.
158,"India, Myanmar, Thailand, Nigeria, and Brazil.",In which countries is Tectona grandis primarily distributed?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil. The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago. Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions. In India, teak forests cover an area of 11.41 M ha."
159,Tectona.,What is the genus of teak?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil. The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago. Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions. In India, teak forests cover an area of 11.41 M ha."
160,OIivicia sp.,Name a fungal pathogen associated with teak.,"4.3 Common diseases
Teak saplings are prone to fungal and bacterial diseases and mature wood slightly shows resistance, however. The teak associated fungal pathogens include OIivicia sp., Rhizoctonia sp., Alternaria sp., Cercospora sp.Phomopsis sp., Fusarium sp., Phytophthora sp. etc. Among various diseases reported, foliar diseases mainly leaf rust, leaf blight and leaf spot are the most common ones in many areas."
161,Small angular brown to grey necrotic lesions on the upper surface.,What type of symptoms does leaf rust of teak show on infected leaves?,"4.4 Major pathological problems in Teak
4.4.1       Leaf rust (Olivea tectonae)

Symptoms:

Infected leaves show small angular brown to grey necrotic lesions on the upper surface."
162,11.41 M ha.,What area do teak forests cover in India?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil. The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago. Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions. In India, teak forests cover an area of 11.41 M ha."
163,Hardwood species.,What type of trees does Tectona grandis represent?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil."
164,"Java, Indonesia.",Where was teak plantation probably introduced about 400 to 600 years ago?,"4.2 Distribution
The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago."
165,Tectona grandis L.,What is the scientific name of the teak?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil."
166,Leaf rust.,Identify one common foliar disease in teak.,"4.3 Common diseases
Among various diseases reported, foliar diseases mainly leaf rust, leaf blight and leaf spot are the most common ones in many areas."
