ANSWER,QUESTION.question,QUESTION.paragraph
Mysore Emperor (Tipu Sultan),Who introduced Eucalyptus in Karnataka?,"3.2 Distribution
In India, it was first introduced in the state of Karnataka..."
Corticium salmonicolor,What is pink disease in Eucalyptus caused by?,"3.2 Common diseases
Stem cankers caused by the fungal species Corticium salmonicolor (pink disease)..."
Poor seedling emergence due to killing of the seed before germination or by invasion of seedling radicles and hypocotyls,What are the symptoms of Pre- and Post-emergence damping off?,"3.4.1 Pre- and Post-emergence damping off (Phytophthora spp.)
Symptoms:
Poor seedling emergence due to killing of the seed..."
"Fungal species such as Corticium salmonicolor, Chrysosporium cubensis, and Botryosphaeria dothidea",What diseases cause stem cankers in Eucalyptus?,"3.2 Common diseases
Stem cankers caused by the fungal species Corticium salmonicolor (pink disease), Chrysosporium cubensis, Botryosphaeria dothidea..."
Plant Diseases in Agroforestry: A Ready Reckoner,What publication contains a detailed section titled 'Common diseases'?,"3.2 Common diseases
Eucalyptus is attacked by various tree pathogens to cause severe losses at nursery..."
Cylindrocarpon lucidum,Which fungal species causes root rot in Eucalyptus?,"3.2 Common diseases
Root rot (Cylindrocarpon lucidum)..."
"Tropical and temperate climates in America, Europe, Africa, the Mediterranean Basin, the Middle East, China, and the Indian subcontinent",Which climates support the growth of Eucalyptus as stated in the text?,"3.2 Distribution
It is distributed widely in the tropical and temperate world including the America, Europe, Africa, the Mediterranean Basin, the Middle East, China, and the Indian subcontinent..."
"Diseases like Macrocosmospora megalospora, Thyronectria pseudotrichia, Hysterium angustatum, and Natttassa toruloidea",What causes timber quality loss in Eucalyptus?,"3.2 Common diseases
Macrocosmospora megalospora, Thyronectria pseudotrichia, Hysterium angustatum, Natttassa toruloidea cause major loss to timber quality and quantity..."
Little leaf,Name a disease of Eucalyptus caused by Phytoplasma.,"3.2 Common diseases
Little leaf (Phytoplasma)..."
"Stem cankers caused by fungal species such as Corticium salmonicolor, Chrysosporium cubensis, and Botryosphaeria dothidea at the nursery level can lead to fear of plantation program failure.",Which diseases increase the risk of plantation program failure in nurseries?,"3.2 Common diseases
Stem cankers caused by the fungal species Corticium salmonicolor (pink disease)... create a fear of failure of entire plantation program..."
Killing of seed before germination or invasion of seedling radicles and hypocotyls,What factors contribute to poor seedling emergence in Eucalyptus?,"3.4.1 Pre- and Post-emergence damping off (Phytophthora spp.)
Symptoms:
Poor seedling emergence due to killing of the seed before germination..."
Phaeoseptoria eucalypti,Which species causes leaf spots in Eucalyptus?,"3.2 Common diseases
Other diseases like leaf spots (Phaeoseptoria eucalypti)..."
Fusarium oxysporum,What pathogens contribute to Eucalyptus vascular wilt?,"3.2 Common diseases
Vascular wilt (Fusarium oxysporum)..."
Around 700 species,How many species of Eucalyptus are cultivated worldwide?,"3.2 Distribution
... the genus is represented by around 700 other species that are cultivated throughout the world."
Leaf blight (Coniella australiensis) has a seasonal impact.,What is the impact of leaf blight on Eucalyptus according to the document?,"3.2 Common diseases
... leaf blight (Coniella australiensis) are seasonal."
"Andhra Pradesh, Bihar, Goa, Daman and Diu, Gujarat, Haryana, Kerala, Madhya Pradesh, Maharashtra, Punjab, Tamil Nadu, Uttar Pradesh, West Bengal",Which regions in India cultivate Eucalyptus?,"3.2 Distribution
... and now widely cultivated in Andhra Pradesh, Bihar, Goa, Daman and Diu, Gujarat, Haryana, Kerala, Madhya Pradesh, Maharashtra, Punjab, Tamil Nadu, Uttar Pradesh and West Bengal."
"Pink disease, valsa canker, and vascular wilt","Which disease affects the entire plant and causes severe losses to Eucalyptus at nursery level, also creating a fear of failure for entire plantation program?","3.2 Common diseases
Eucalyptus is attacked by various tree pathogens to cause severe losses... Valsa eucalypti (valsa canker)... diseases such as pink disease, valsa canker and vascular wilt create a fear of failure of the entire plantation program..."
Plant Diseases in Agroforestry: A Ready Reckoner,What document is the paragraph describing the distribution and common diseases of Eucalyptus extracted from?,"Cover page as provided
Plant Diseases in Agroforestry: A Ready Reckoner covers these topics."
Section 3.2 details the fungal diseases affecting Eucalyptus.,Which sections of the document describe the fungal diseases affecting Eucalyptus?,"3.2 Common diseases
Stem cankers caused by the fungal... and leaf blight (Coniella australiensis)."
Web blight (Rhizoctonia solani),What disease leads to stems becoming water-soaked in plants?,Stems become water-soaked due to tissue invasion and cell maceration.
Plants fall over and die in patches.,What are the observed effects of web blight on plants?,Plants fall over leading to the death of plants in patches.
Web blight,Which blight is caused by Rhizoctonia solani?,3.4.2 Web blight (Rhizoctonia solani)
Soil drenching with copper oxychloride 50% WP @ 2g/litre.,What management practice involves using copper oxychloride?,Soil drenching with copper oxychloride 50% WP @ 2g/litre.
Potting mixture,What is used for soil solarisation before use?,Soil solarisation of the potting mixture before use.
Fosetyl aluminium 80% WP,Which chemical is drenched in soil to manage web blight?,Drench the soil with fosetyl aluminium 80% WP @ 20-50g/20 litre water.
Soil drenching with fosetyl aluminium 80% WP.,What practice uses fosetyl aluminium for disease management?,Drench the soil with fosetyl aluminium 80% WP @ 20-50g/20 litre water.
50% WP @ 2g/litre.,How often should copper oxychloride be used during a soil drench?,Soil drenching with copper oxychloride 50% WP @ 2g/litre.
To ensure adequate drainage and reduce disease spread.,Why is proper ventilation necessary in plant management?,Proper ventilation and adequate drainage facility at nursery site.
Tissue invasion and cell maceration.,What causes the stems to become water-soaked in plants affected by blight?,Stems become water-soaked due to tissue invasion and cell maceration.
Pathogen-free propagating material.,What is recommended to use when preparing propagating material?,Use of pathogen-free propagating material.
Soil fumigation with formalin.,What should be considered for soil fumigation in terms of web blight management?,Soil fumigation with formalin.
It causes plants to fall over and die in patches.,How does Rhizoctonia solani affect the physical appearance of plants?,Plants fall over leading to the death of plants in patches.
"A healthy leaf is green and intact, while affected foliage shows brown spots and decay.",What are the visual differences in a healthy Nilgiri leaf compared to one affected by blight?,Illustration showing a healthy Nilgiri leaf and blight affected foliage.
To reduce pathogen load in the soil mix.,Why is soil solarisation important before using the potting mixture?,Soil solarisation of the potting mixture before use.
Ensure proper ventilation and adequate drainage.,What should be done to the nursery site to ensure proper management of web blight?,Proper ventilation and adequate drainage facility at nursery site.
Drench the soil with fosetyl aluminium 80% WP solution.,How can the soil be treated to control Rhizoctonia solani?,Drench the soil with fosetyl aluminium 80% WP @ 20-50g/20 litre water.
It prevents the introduction of diseases.,What does the use of pathogen-free propagating material prevent?,Use of pathogen-free propagating material.
To prevent water accumulation that can promote disease.,"In managing web blight, why is adequate drainage important?",Proper ventilation and adequate drainage facility at nursery site.
Affected foliage exhibits brown spots and decay.,What visual indicators can confirm the presence of Rhizoctonia solani?,Illustration showing a healthy Nilgiri leaf and blight affected foliage.
Water-soaked lesions are a symptom of a plant disease.,What are the water-soaked lesions in the plant a symptom of?,"Symptoms:
➤ Water-soaked lesions in the plant, necrosis and blightening of leaves"
Potting mixture should be solarised before use.,What step should be taken before using potting mixture in severely infected nurseries?,"Management:
➤ Soil solarisation of potting mixture before use"
Ralstonia solanacearum is associated with bacterial wilt.,What is Ralstonia solanacearum associated with in this document?,3.4.3 Bacterial wilt (Ralstonia solanacearum)
Soil drenching with copper oxychloride 50% WP @ 2g/litre.,What is the management technique involving copper oxychloride for infected plants?,"Management:
➤ Soil drenching with copper oxychloride 50% WP @ 2g/litre"
Propiconazole @25% EC 1 ml/litre.,What concentration of Propiconazole is recommended for use in heavily infected nurseries?,"Management:
➤ Spray Propiconazole @25% EC 1 ml/litre in severely infected nurseries"
"Necrosis and blightening of leaves, along with water-soaked lesions, indicate a disease in plants.",Describe the symptoms of plant disease involving necrosis and blightening of leaves.,"Symptoms:
➤ Water-soaked lesions in the plant, necrosis and blightening of leaves"
Seedlings and young plantations wilt and eventually die due to plant disease.,What happens to seedlings and young plantations affected by plant disease?,"Symptoms:
➤ Wilting and subsequent death of the seedlings/young plantations"
Soil fumigation with formalin is a management technique.,What management technique includes formalin?,"Management:
➤ Soil fumigation with formalin"
Mycelium forms a web at the infection site.,What is the symptom related to the mycelium at the infection site?,"Symptoms:
➤ Web of mycelium at the infection site"
Heavy defoliation indicates a severe plant disease.,What is indicative of heavy defoliation in a plant?,"Symptoms:
➤ Heavy defoliation"
Infected seedlings and plants show drooping and drying of leaves without yellowing.,What does the symptom 'drooping and drying of leaves' indicate in plants?,"Symptoms:
➤ Infected seedlings and plants show drooping and drying of leaves with out yellowing"
Young plants die showing no recovery even after irrigation.,What symptom shows that young plants are not recovering after irrigation?,"Symptoms:
➤ Young plants die showing no recovery even after irrigation"
Wilt affected wood shows profuse oozing of bacteria from the cut surface.,What does profuse oozing of bacteria from wilt affected wood indicate?,"Symptoms:
➤ Wilt affected wood shows profuse oozing of bacteria from the cut surface"
"Symptoms include drooping and drying of leaves without yellowing, death of young plants without recovery after irrigation, and profuse oozing of bacteria from wilt affected wood.",What are the symptoms of bacterial wilt in plants?,"3.4.3 Bacterial wilt (Ralstonia solanacearum)
Symptoms:
➤ Infected seedlings and plants show drooping and drying of leaves with out yellowing
➤ Young plants die showing no recovery even after irrigation
➤ Wilt affected wood shows profuse oozing of bacteria from the cut surface"
"To manage bacterial wilt caused by Ralstonia solanacearum, soil solarisation of potting mixture should be done before use.",What measures should be taken to manage bacterial wilt caused by Ralstonia solanacearum?,"Management:
➤ Soil solarisation of potting mixture before use"
"Management strategies for handling plant diseases include soil solarisation, sterilization of plastic pots/tubes, soil fumigation with formalin, soil drenching with copper oxychloride, and spraying Propiconazole.",What are some management strategies included in the text for handling plant diseases?,"Management:
➤ Soil solarisation of potting mixture before use
➤ Sterilization of plastic pots/tubes
➤ Soil fumigation with formalin
➤ Soil drenching with copper oxychloride 50% WP @ 2g/litre
➤ Spray Propiconazole @25% EC 1 ml/litre in severely infected nurseries"
Soil solarisation of potting mixture before use should be done to prevent plant diseases.,What should be done before using potting mixtures to prevent plant diseases?,"Management:
➤ Soil solarisation of potting mixture before use"
"Symptoms of plant diseases include water-soaked lesions, necrosis, blightening of leaves, heavy defoliation, wilting, death of seedlings/young plantations, and a web of mycelium at the infection site.",What are the symptoms of plant diseases present in the text?,"Symptoms:
➤ Water-soaked lesions in the plant, necrosis and blightening of leaves
➤ Heavy defoliation
➤ Wilting and subsequent death of the seedlings/young plantations
➤ Web of mycelium at the infection site"
An image comparison showcases healthy wood logs versus wilt affected plants and wood.,What image comparison showcases healthy wood logs versus wilt affected plants and wood?,"3.4.3 Bacterial wilt (Ralstonia solanacearum)
Healthy wood logs	Wilt affected plants and wood"
Plant diseases in agroforestry,What is the primary focus of the document 'Plant Diseases in Agroforestry'?,Technical Bulletin CAFRI/2021/02 - 'Plant Diseases in Agroforestry: A Ready Reckoner'
"Near Pahuj Dam, Gwalior Road, Jhansi, Uttar Pradesh",Where is the ICAR-Central Agroforestry Research Institute located?,"Near Pahuj Dam, Gwalior Road, Jhansi 284003, Uttar Pradesh, India"
CAFRI/2021/02,Which technical bulletin number corresponds to 'Plant Diseases in Agroforestry'?,Technical Bulletin CAFRI/2021/02
"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam",Who are the authors of the document 'Plant Diseases in Agroforestry'?,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam"
Technical Bulletin,What type of document is 'Plant Diseases in Agroforestry'?,Technical Bulletin
Plant diseases in Agroforestry.,What is the main topic covered by the technical bulletin CAFRI/2021/02?,Plant Diseases in Agroforestry: A Ready Reckoner
"'Plant Diseases in Agroforestry: A Ready Reckoner', Technical Bulletin CAFRI/2021/02.",Identify the Ready Reckoner document related to Agroforestry research and its publication number.,Technical Bulletin CAFRI/2021/02
Plant diseases.,What kind of plant-related issues does the document address?,Plant Diseases in Agroforestry
"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam",List the authors behind 'Plant Diseases in Agroforestry: A Ready Reckoner'.,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam"
Indian Council of Agricultural Research,What does ICAR stand for in the context of 'Plant Diseases in Agroforestry'?,ICAR-Central Agroforestry Research Institute
"Near Pahuj Dam, Gwalior Road, Jhansi, Uttar Pradesh",Where can one find the ICAR-Central Agroforestry Research Institute?,"Near Pahuj Dam, Gwalior Road, Jhansi 284003, Uttar Pradesh, India"
"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam",Who authored the technical bulletin addressing plant diseases in Agroforestry?,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam"
"Near Pahuj Dam, Gwalior Road, Jhansi, Uttar Pradesh",What is the geographical location of ICAR-Central Agroforestry Research Institute as mentioned in 'Plant Diseases in Agroforestry'?,"Near Pahuj Dam, Gwalior Road, Jhansi 284003, Uttar Pradesh, India"
Technical Bulletin,What type of publication is 'Plant Diseases in Agroforestry: A Ready Reckoner' listed under?,Technical Bulletin CAFRI/2021/02
"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam",Who are the researchers contributing to 'Plant Diseases in Agroforestry' from ICAR-Central Agroforestry Research Institute?,"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam"
ICAR-Central Agroforestry Research Institute,Which research institute published the bulletin 'Plant Diseases in Agroforestry'?,ICAR-Central Agroforestry Research Institute
"Plant Diseases in Agroforestry: A Ready Reckoner by M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, A Arunachalam; Technical Bulletin CAFRI/2021/02",Give the full citation for the technical bulletin on plant diseases in agroforestry including the authors and publication number.,"Plant Diseases in Agroforestry: A Ready Reckoner by M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, A Arunachalam; Technical Bulletin CAFRI/2021/02"
ICAR-Central Agroforestry Research Institute,Which organization is primarily involved in the research featured in 'Plant Diseases in Agroforestry'?,ICAR-Central Agroforestry Research Institute
Authorship,State the contribution of M Ashajyothi in the technical bulletin CAFRI/2021/02.,M Ashajyothi is listed as one of the authors.
Plant Diseases in Agroforestry,What is described as 'A Ready Reckoner' in the document CAFRI/2021/02?,'Plant Diseases in Agroforestry' is described as 'A Ready Reckoner'.
Pink disease/stem canker,What disease is caused by Corticium salmonicolor?,3.4.4 Pink disease/stem canker (Corticium salmonicolor)
Web of mycelium on the stem,What is the symptom related to mycelium?,Web of mycelium on the stem and depression at the infected region
Plastic pots and planting tools,What type of tools should be sterilized?,Sterilization of plastic pots and planting tools
Die-back in seedlings,What symptom involves the stem showing die-back?,Stem above infected area show die-back in seedlings
10%,What percentage of bordeaux paste should be applied?,Application of bordeaux paste (10%) on the cut surface of stumps
Avoid wounding,What should be avoided to manage pink disease?,Avoid wounding
Apical shoot,Which tree part appears bushy due to pink disease?,Bushy appearance of the tree due to apical shoot damage
Heavily infected plants should be removed and disposed of.,How should infected plants be dealt with?,Removal and disposal of heavily infected plants
Soil drench with COC 50% WP involves using 20g in 10 litres of water around the tree base.,What treatment involves COC 50% WP?,Soil drench with COC 50% WP @20g in 10 litres water around tree base
Canker resistant planting material should be used to manage the disease.,What resistant material should be used in planting?,Use canker resistant planting material
Vertical bark splitting can occur along with stem girdling in infected areas.,How can vertical bark splitting occur?,Vertical bark splitting and stem girdling
Stem girdling along with vertical bark splitting is a symptom of pink disease.,What is the connection between stem girdling and pink disease?,Vertical bark splitting and stem girdling
One of the symptoms is the stem above the infected area showing die-back in seedlings.,What is one of the symptoms involving the stem in seedlings?,Stem above infected area show die-back in seedlings
"For soil drench treatment, use plantamycin 100mg/litre and copper oxychloride 50% WP at 2g/litre around the tree base.",What should be used for soil drench treatment for pink disease management?,Soil drench with plantamycin 100mg/litre and copper oxychloride 50% WP @ 2g/litre around tree base
The presence of a web of mycelium on the stem suggests depression at the infected region.,What physical symptom suggests depression at the infected region?,Web of mycelium on the stem and depression at the infected region
Bordeaux paste with a 10% concentration can be applied to the cut surface of stumps.,Which substance with bordeaux paste percentage can be applied to stumps?,Application of bordeaux paste (10%) on the cut surface of stumps
Heavily infected plants should be removed and disposed of to manage the spread.,How should heavily infected plants be managed?,Removal and disposal of heavily infected plants
Using canker resistant planting material helps in managing pink disease.,What type of planting material helps in managing pink disease?,Use canker resistant planting material
The method involves soil drench with plantamycin 100mg/litre and copper oxychloride 50% WP at 2g/litre around the tree base.,What is the method involving copper oxychloride for soil treatment?,Soil drench with plantamycin 100mg/litre and copper oxychloride 50% WP @ 2g/litre around tree base
A tree affected by pink disease appears bushy due to apical shoot damage.,Describe the appearance of a tree affected by pink disease.,Bushy appearance of the tree due to apical shoot damage
Tectona grandis,What is the scientific name for teak?,Teak (Tectona grandis)
Lamiaceae,To which family does the teak tree belong?,Family : Lamiaceae
Lamiales,What order does the teak tree belong to?,Order : Lamiales
Tectona,What is the genus of teak?,Genus : Tectona
Tracheophytes,Under which category of plants does teak fall?,Clade : Tracheophytes
By aiding in runoff control.,How does teak contribute to water conservation?,"maintain soil fertility, water conservation through runoff control."
Furniture and shipbuilding.,What are two primary uses of teak worldwide?,"used as furniture, shipbuilding and decorative components."
Due to its superior timber quality and durability.,Why is teak considered a potential commercial tree species?,superior timber quality and more importantly timber durability.
Its superior timber quality and high durability.,What is one of the main advantages of teak's timber?,high timber durability.
Carbon sequestration and maintaining environmental biodiversity.,What environmental service does teak provide?,"carbon sequestration, stand structural diversity to maintain environmental biodiversity"
Beautification and ornamentation.,What are some benefits of planting teak outside forest areas?,"beautification across the roadside/as ornamental outside forest areas,"
Maintaining soil fertility and enhancing microbial density.,What roles do teak trees play in enhancing soil and microbial features?,"subsequently maintain soil fertility, water conservation through runoff control."
By its potential to tolerate termite attacks and resist wood-decaying fungi.,How does teak contribute to controlling termite attacks?,Teak has the potential to tolerate termite attack and wood-decaying fungi.
Stand structural diversity and roadside beautification.,What are the structural diversities provided by teak?,"stand structural diversity to maintain environmental biodiversity, beautification across the roadside"
Its potential as a globally significant commercial tree species.,What is a significant benefit of teak in agroforestry?,a potential commercial tree species globally.
"Furniture, shipbuilding, and decorative components.",List three economic uses of teak.,"furniture, shipbuilding and decorative components."
"Enhancing soil microfauna diversity, microbial density, and water conservation.",What are some of the ecosystem services provided by teak?,"soil microfauna diversity and microbial density subsequently maintain soil fertility, water conservation"
Plantae,In which plant kingdom is teak classified?,Kingdom : Plantae
Roadside beautification and ornamental use.,What are some of the aesthetic benefits of teak trees?,beautification across the roadside/as ornamental outside forest areas
It's known for its superior timber quality and durability.,What role does teak play in the timber industry?,superior timber quality and more importantly timber durability.
"India, Myanmar, Thailand, Nigeria, and Brazil.",In which countries is Tectona grandis primarily distributed?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil. The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago. Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions. In India, teak forests cover an area of 11.41 M ha."
Tectona.,What is the genus of teak?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil. The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago. Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions. In India, teak forests cover an area of 11.41 M ha."
OIivicia sp.,Name a fungal pathogen associated with teak.,"4.3 Common diseases
Teak saplings are prone to fungal and bacterial diseases and mature wood slightly shows resistance, however. The teak associated fungal pathogens include OIivicia sp., Rhizoctonia sp., Alternaria sp., Cercospora sp.Phomopsis sp., Fusarium sp., Phytophthora sp. etc. Among various diseases reported, foliar diseases mainly leaf rust, leaf blight and leaf spot are the most common ones in many areas."
Small angular brown to grey necrotic lesions on the upper surface.,What type of symptoms does leaf rust of teak show on infected leaves?,"4.4 Major pathological problems in Teak
4.4.1       Leaf rust (Olivea tectonae)

Symptoms:

Infected leaves show small angular brown to grey necrotic lesions on the upper surface."
11.41 M ha.,What area do teak forests cover in India?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil. The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago. Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions. In India, teak forests cover an area of 11.41 M ha."
Hardwood species.,What type of trees does Tectona grandis represent?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil."
"Java, Indonesia.",Where was teak plantation probably introduced about 400 to 600 years ago?,"4.2 Distribution
The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago."
Tectona grandis L.,What is the scientific name of the teak?,"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil."
Leaf rust.,Identify one common foliar disease in teak.,"4.3 Common diseases
Among various diseases reported, foliar diseases mainly leaf rust, leaf blight and leaf spot are the most common ones in many areas."
China.,In which country was a new brown leaf spot disease of teak reported recently?,"4.3 Common diseases
Recently, a new brown leaf spot disease of teak caused by Alternaria alternata reported from China."
Alternaria alternata.,Name the pathogen causing the new brown leaf spot disease in teak.,"4.3 Common diseases
Recently, a new brown leaf spot disease of teak caused by Alternaria alternata reported from China."
