,ANSWER,QUESTION.question,QUESTION.paragraph
53,Continuous plants are suitable for rural households as the necessary work fits well into the daily routine.,Why are continuous plants more suitable for rural households?,Continuous plants are suitable for rural households as the necessary work fits well into the daily routine.
54,"Semi batch plants digest straw and dung together, and the material is fed in about twice a year as a batch load.",What distinguishes semi batch plants from other types of biogas plants?,"If straw and dung are to be digested together, a biogas plant can be operated on a semi batch basis."
55,Digested slurry has more nutrients than FYM because FYM loses nutrients through volatilization and leaching.,Describe how digested slurry compares to FYM in terms of nutrient loss.,"Digested slurry have more nutrients, because in FYM, the nutrients are lost by volatilization (especially nitrogen) due to exposure to sun (heat) as well as by leaching."
56,Batch plants have a fixed retention time during which the material is completely emptied after it is filled once.,What is the retention time for material in a batch biogas plant?,Batch plants are filled once and then emptied completely after a fixed retention time.
57,The substrate in continuous plants should be fluid and homogeneous for efficient filling and emptying operations.,Explain how the substrate in continuous plants should be for optimal operation.,"Continuous plants require the substrate to be fluid and homogeneous, facilitating easy and automatic emptying whenever new material is filled in."
58,The period is within 10 days when nitrogen escaping from digested slurry is 10 to 15 percent.,Identify the period during which nitrogen loss from digested slurry is lower compared to fresh cow dung.,While nitrogen escaping from digested slurry within the same period amounts to only 10 to 15 percent.
59,"Biogas slurry improves soil aggregation and stabilizes its humus contents, making it a high-quality organic manure compared to FYM.",How does biogas slurry contribute to soil improvement?,"Biogas slurry has proved to be highly quality organic manure compared to FYM, improving soil aggregation and stabilizing its humus contents."
60,Floating drum plants and Fixed - dome plants.,What are the two most familiar types of biogas plants in developing countries?,"Considering the construction, two most familiar types of biogas plants in developing countries are 1) Floating drum plants 2) Fixed - dome plants."
61,"Climate, soil conditions, substrate for digestion, availability of building material.",What conditions influence the performance of a biogas plant?,"The performance of a biogas plant is dependent on the local conditions in terms of climate, soil conditions, the substrate for digestion and the availability of building material."
62,Specific climatic and socio-economic conditions.,What must the design of a biogas plant respond to?,"The design must respond to these conditions. In areas with generally low temperatures, insulations and heating devices may be important."
63,Floating gas holder.,What is one component of the floating drum plant?,"A floating drum plant consists of a cylindrical or dome shaped digester and a moving, floating gas holder, or drums. The gas –holder floats rather directly in the fermenting slurry or in a separate water jacket."
64,Deep excavation work.,What should the design of a biogas plant avoid in areas where bedrocks occur frequently?,"If bedrocks occur frequently, the design must avoid deep excavation work."
65,"Synthetic plastic, metals, bricks, cement concrete, bamboo.",What materials can biogas plants be made of?,"The biogas plants can be made of synthetic plastic, metals, bricks and cement concrete and bamboo."
66,Avoid deep excavation work.,"Regarding bedrock occurrence, what should be avoided in biogas plant design?","In areas with generally low temperatures, insulations and heating devices may be important. If bedrocks occur frequently, the design must avoid deep excavation work."
67,The size and design of the digester and the inlet and outlet construction.,What influences the amount and type of substrate to be digested?,The amount and type of substrate to be digested have a bearing on size and design of the digester and the inlet and outlet construction.
68,A cylindrical or dome shaped digester and a floating gas holder.,What does a floating drum plant consist of?,"A floating drum plant consists of a cylindrical or dome shaped digester and a moving, floating gas holder, or drums. The gas –holder floats rather directly in the fermenting slurry or in a separate water jacket."
69,"Local climate, soil conditions, substrate for digestion, availability of building materials.",What are the key factors in the performance of a biogas plant?,"The performance of a biogas plant is dependent on the local conditions in terms of climate, soil conditions, the substrate for digestion and the availability of building material."
70,In areas with generally low temperatures.,In what conditions should insulations and heating devices be considered important for biogas plants?,"The design must respond to these conditions. In areas with generally low temperatures, insulations and heating devices may be important. If bedrocks occur frequently, the design must avoid deep excavation work."
71,The size and design of the digester and the inlet and outlet construction.,What determines the amount and type of substrate to be used in a biogas plant?,The amount and type of substrate to be digested have a bearing on size and design of the digester and the inlet and outlet construction.
72,"Synthetic plastic, metals, bricks, cement concrete, and bamboo.",What types of materials are commonly used to construct biogas plants?,"The biogas plants can be made of synthetic plastic, metals, bricks and cement concrete and bamboo."
73,"Cylindrical or dome-shaped digester, moving floating gas holder or drums.",What are the major components of a floating drum plant in biogas systems?,"A floating drum plant consists of a cylindrical or dome shaped digester and a moving, floating gas holder, or drums. The gas –holder floats rather directly in the fermenting slurry or in a separate water jacket."
74,The substrate type affects the size and design of the digester and the inlet and outlet construction.,How does the substrate type affect the biogas plant construction design?,The amount and type of substrate to be digested have a bearing on size and design of the digester and the inlet and outlet construction.
75,Universally applicable and easy to maintain.,What is a key characteristic of water-jacket plants?,Water Jacket floating-drum plants: Water-jacket plants are universally applicable and easy to maintain.
76,"Brick, concrete, or quarry-stone masonry with plaster.",What is the main material used for the digester?,"Material of digester and drum: The digester is usually made of brick, concrete or quarry-stone masonry with plaster."
77,Just as high as the wall above the support ledge.,What should the height of the gas drum sidewall be?,Guide frame: The side wall of the gas drum should be just as high as the wall above the support ledge.
78,The guide frame ensures the drum does not tilt.,What prevents the drum from tilting?,Guide frame: The floating drum must not touch the outer walls. It must not tilt.
79,The drum cannot get stuck in a scum layer.,How are water-jacket plants beneficial for scum layer prevention?,"The drum cannot get stuck in a scum layer, even if the substrate has high solids content."
80,A long useful life and a more aesthetic appearance.,What ensures a long useful life for water-jacket plants?,Water-jacket plants are characterized by a long useful life and a more aesthetic appearance.
81,Welded-in braces that break up surface scum when rotating.,How is the drum of a biogas plant protected against scum formation?,It has welded-in braces which break up the surface scum when the drum rotates.
82,"2.5 mm for the sides, and 2 mm for the top.",What are the side and top sheet thicknesses of the gas drum?,The gas drum normally consists of 2.5 mm steel sheets for the sides and 2 mm sheets for the top.
83,For superior sealing of substrate and hygienic fermentation of night soil.,Why is a water jacket necessary for hygienic fermentation?,"Due to their superior sealing of substrate (hygiene), they are recommended for use in the fermentation of night soil."
84,The extra cost of the masonry water jacket is relatively modest.,What is the extra cost implication of using a masonry water jacket?,The extra cost of the masonry water jacket is relatively modest.
85,"Oil paints, synthetic paints, and bitumen paints.",What is the composition of suitable coating products for the drum?,Suitable coating products are oil paints synthetic paints and bitumen paints.
86,"To prevent tilting, sticking, or rubbing of the floating drum.",Why should the floating drum not touch the outer walls?,"The floating drum must not touch the outer walls. It must not tilt, stick, or rub."
87,The drum moves up with production and sinks back with consumption of biogas.,How does the gas-holder operate with the production and consumption of biogas?,"If biogas is produced, the drum moves up, if gas is consumed, the gas-holder sinks back."
88,"The gas drum is made of 2.5 mm steel sheets for the sides and 2 mm sheets for the top. It includes welded-in braces to break up surface scum and is protected against corrosion by oil paints, synthetic paints, and bitumen paints.",Explain the construction materials and protection applied to the gas drum.,The gas drum normally consists of 2.5 mm steel sheets for the sides and 2 mm sheets for the top. It has welded-in braces which break up surface scum when the drum rotates. The drum must be protected against corrosion. Suitable coating products are oil paints synthetic paints and bitumen paints.
89,"Water-jacket plants are easy to maintain, prevent scum layer issues, have a long useful life, and are aesthetically pleasing.",What distinguishes water-jacket plants in terms of maintenance and usability?,"Water-jacket plants are universally applicable and easy to maintain. The drum cannot get stuck in a scum layer, even if the substrate has high solids content. They are characterized by a long useful life and a more aesthetic appearance."
90,Hemisphere digester,What type of digester does the Pragati model use?,Types of floating –drum plants: Pragati model with a hemisphere digester.
91,Floating-drum plants,Which floating-drum plant model is made with pre-fabricated reinforced concrete compound units?,Types of floating –drum plants: Floating-drum plants made of pre–fabricated reinforced concrete compound units.
92,Expensive and maintenance-intensive.,What is a disadvantage of the steel drum in floating-drum plants?,Disadvantages: The steel drum is relatively expensive and maintenance–intensive.
93,Baroda model,Which model combines static advantages with process stability of the floating drum?,Types of floating –drum plants: Baroda model - The Baroda plants combines the static advantages of hemispherical digester with the process –stability of the floating – drum.
94,Cylindrical digester,What is the key feature of the KVIC model floating-drum plant?,"Types of floating –drum plants: KVIC model with a cylindrical digester, the oldest and most widespread floating drum biogas plants from India."
95,To allow gas drum removal for repair.,What is the purpose of the guide frame in floating-drum digesters?,This guide frame must be designed in a way that allows the gas drum to be removed for repair.
96,They provide gas at constant pressure and obvious storage status.,What advantage do floating-drum plants provide regarding gas storage?,"Advantages: They provide gas at a constant pressure, and the stored gas volume is immediately recognizable by the position of the drum."
97,Made of fibre-glass reinforced polyester.,What combination of features does the Floating-drum model made of fibre-glass offer?,Types of floating –drum plants: Floating–drum plants made of fibre-glass reinforced polyester.
98,To allow gas drum removal and replacement by a balloon.,What is the primary reason for requiring a guide in floating-drum systems?,This guide frame must be designed in a way that allows the gas drum to be removed for repair. The drum can only be replaced by a balloon above the digester.
99,Gas tightness is reliable if maintained regularly.,What are the benefits of the floating-drum plants in terms of gas tightness?,"Advantages: Gas tightness is no problem, provided the gas holder is de-rusted and painted regularly."
100,Angular steel and plastic foil.,What materials are used in the Ganesh model of floating-drum plants?,Types of floating –drum plants: Ganesh model made of angular steel and plastic foil.
101,It causes the gas holder to get stuck in floating scum.,How does fibrous substance affect the gas holder in floating-drum systems?,"If fibrous substances are used, the gas holder shows a tendency to get 'stuck' in the resultant floating scum."
102,High susceptibility to physical damage.,What construction problem often arises with the attachment of the floating-drum balloon?,"In practice, problems always arise with the attachment of the balloon to the digester and with the high susceptibility to physical damage."
103,Due to its short lifetime (about 5 years).,Why is the steel drum in floating-drum plants considered short-lived in tropical regions?,The lifetime of the drum is short (up to 15 years; in tropical coastal regions about five years).
104,Reduces construction costs but attachment problems may occur.,Why does the replacement of the gas drum in floating-drum systems impact construction costs?,This reduces construction costs but in practice problems always arise with the attachment of the balloon to the digester.
105,20 years or more.,What is the longevity of a fixed-dome biogas plant?,The cost of a fixed-dome biogas plant is relatively low. It is simple as no moving parts exist. There are also no rusting steel parts and hence a long life of the plant (20 years or more) can be expected.
106,Underground construction.,What aspect of fixed-dome plants contributes to their protection in cold seasons?,"The plant is constructed underground, protecting it from physical damage and saving space. While the underground digester is protected from low temperatures at night during cold seasons."
107,Storing gas.,What is the function of a gas-holder in a fixed-dome plant?,"A fixed dome plant comprises of a closed, dome-shaped digester with an immovable, rigid gas-holder."
108,To ensure gas-tight construction.,Why should a well-trained mason supervise the construction of fixed-dome plants?,Fixed-dome plants are easy to construct but construction work should be done by a well-trained mason. They should only be built where construction can be supervised by experienced biogas technicians.
109,Local employment.,What type of employment does the construction of fixed-dome plants create?,"The construction of fixed-dome plants is labour-intensive, thus creating local employment."
110,Compensation tank.,What is an alternative name for the displacement pit in a fixed-dome biogas plant?,"The gas is stored in the upper part of the digester. When gas production commences, the slurry is displaced into the compensating tank, also named ‘compensation tank’."
111,Protection from physical damage and space-saving.,What is a key benefit of constructing the plant underground?,"The plant is constructed underground, protecting it from physical damage and saving space."
112,They positively influence the bacteriological processes.,How do day/night temperature fluctuations affect the digester?,The day/night fluctuations of temperature in the digester positively influence the bacteriological processes.
113,The slurry is displaced into the compensating tank when gas production commences.,Describe what happens to the slurry when gas production commences in a fixed-dome plant.,"When gas production commences, the slurry is displaced into the compensating tank."
114,The gas pressure is low.,What happens if there is little gas in the gas holder of a fixed-dome plant?,"If there is little gas in the gas holder, the gas pressure is low."
115,To supervise construction ensuring gas-tightness.,What is the role of experienced biogas technicians during the construction of fixed-dome plants?,"They should only be built where construction can be supervised by experienced biogas technicians. Otherwise, plants may not be gas-tight."
116,Upper part of the digester.,In what part of the digester is the gas stored in a fixed-dome biogas plant?,The gas is stored in the upper part of the digester.
117,"No rusting steel parts are used, ensuring long life.",Why are rusting steel parts not a concern in fixed-dome biogas plants?,There are also no rusting steel parts and hence a long life of the plant (20 years or more) can be expected.
118,"Gas is stored in the upper part, and slurry is displaced into the compensating tank.",Describe the process when gas production commences in a fixed-dome plant.,"The gas is stored in the upper part of the digester. When gas production commences, the slurry is displaced into the compensating tank."
119,Gas pressure increases with the volume of gas stored.,What happens to the pressure in the gas holder as the volume of gas stored increases?,"Gas pressure increases with the volume of gas stored, i.e., with the height difference between the two slurry levels."
120,"Masonry structures, cement, and ferro-cement.",What materials are typically used in the construction of fixed dome bio-plants?,"The digester of fixed dome plants are usually masonry structures, of cement and ferro-cement."
121,Fixed dome plants produce just as much gas as floating drum plants if they are gas tight.,What is a key advantage of fixed dome plants over floating drum plants?,"Fixed dome plants produce just as much gas as floating – drum plants, if they are gas tight."
122,Gas holder.,What is the top part of a fixed-dome plant called?,The top part of a fixed –dome plant (the gas space) must be gas –tight.
123,The gas space.,What is painted with a gas-tight layer in a fixed-dome plant?,"Concrete, masonry and cement rendering are not gas –tight. The gas space must therefore be painted with a gas –tight layer (e.g. Water –proofer, Latex or synthetic paints)."
124,"Technical suitability, cost-effectiveness, regional availability, transport costs, and local skills availability.",What are the main parameters for choosing the material for a digester?,"Main parameters for the choice of material are:
• Technical suitability (stability, gas – and liquid tightness).
• Cost – effectiveness.
• Availability in the region and transport costs.
• Availability of local skills for working with the particular building material."
125,To prevent gas leakage and maintain effective gas utilization.,Why must gas holders be gas-tight?,The top part of a fixed –dome plant (the gas space) must be gas –tight.
126,A flexible joint between the lower and upper parts of the hemispherical structure.,What prevents cracks in the upper parts of fixed-dome gas holders?,It prevents cracks that develop due to the hydrostatic pressure in the lower parts to move into the upper parts of the gas holder.
127,Less effective utilization of the gas.,What issue arises from fluctuating gas pressure in fixed dome plants?,However utilization of the gas is less effective as the gas pressure fluctuates substantially.
128,Constructing a weak ring in the masonry of the digester.,What is one way to reduce the risk of cracking in the gas holder of a fixed dome plant?,A possibility to reduce the risk of cracking of the gas – holder consists in the construction of a weak – ring in the masonry of the digester.
129,"Water proofers, Latex, or synthetic paints.",What are the types of layers that can be used to paint the gas holder?,"The gas space must therefore be painted with a gas –tight layer (e.g. Water –proofer, Latex or synthetic paints)."
130,It was the first fixed-dome design in India and is no longer constructed.,What is the main characteristic of the Janta model compared to other fixed-dome designs?,"Janta model was the first fixed-dome design in India, It is not constructed anymore."
131,Cracks due to hydrostatic pressure can move into the upper parts of the gas holder.,What issues do cracks in the digester cause in a fixed-dome plant?,It prevents cracks that develop due to the hydrostatic pressure in the lower parts to move into the upper parts of the gas holder.
132,Availability in the region and transport costs.,What is one main factor that affects the choice of material for the digester due to transport?,Availability in the region and transport costs.
133,Utilizing local skills can enhance the work quality and ensure proper handling of building materials.,What are the main benefits of using local skills in building digesters?,Availability of local skills for working with the particular building material.
134,Chinese fixed-dome plant is the archetype of all fixed dome plants.,What is the archetype of Chinese fixed-dome plants?,Chinese fixed-dome plant is the archetype of all fixed dome plants. Several million have been constructed in China.
135,Deenbandhu,What is the name of the successor of the Janta model in India?,"Deenbandhu, the successor of the Janta model in India, with improved design of hemispheric digester was developed by AFPRO in early eighties."
136,Early eighties,In which decade was the Deenbandhu model developed?,"Deenbandhu, the successor of the Janta model in India, with improved design of hemispheric digester was developed by AFPRO in early eighties."
137,AFPRO,Which organization developed the Deenbandhu model in India?,"Deenbandhu, the successor of the Janta model in India, with improved design of hemispheric digester was developed by AFPRO in early eighties."
138,25-30% cheaper.,How much cheaper is the Deenbandhu model compared to the Janta model?,This is cheaper than Janta model. Its construction and maintenance cost is also less than Janta model.
139,1-6 m³,What capacity range of biogas plants can be constructed using the Deenbandhu model?,This plant has been approved by Ministry of Non-Renewable Energy resources for construction of biogas plants of capacity ranging from 1-6 m³.
140,Its construction and maintenance cost is less.,What is one major advantage of the Deenbandhu model over the Janta model?,This is cheaper than Janta model. Its construction and maintenance cost is also less than Janta model.
141,China,Which country's fixed dome plant pattern did the Deenbandhu model follow?,It was designed on the pattern of fixed dome plant being constructed in China.
142,Ministry of Non-Renewable Energy resources,Who approved the Deenbandhu model for construction of biogas plants in India?,This model has been approved by Ministry of Non -Renewable Energy resources for construction of biogas plants of capacity ranging from 1-6 m³.
143,Improved design of hemispheric digester,What is the chief characteristic of the AFPRO’s Deenbandhu model?,"Deenbandhu, the successor of the Janta model in India, with improved design of hemispheric digester was developed by AFPRO in early eighties."
144,The maintenance cost of the Deenbandhu model is almost negligible and it is 25-30% cheaper than KVIC model.,Describe the maintenance cost advantage of the Deenbandhu model.,This plant is 25-30% cheaper than KVIC model and the maintenance cost is almost negligible.
145,The Deenbandhu model is considered better because it is cheaper to construct and maintain compared to the Janta model.,Why is the Deenbandhu model considered better than the Janta model?,This is cheaper than Janta model. Its construction and maintenance cost is also less than Janta model.
146,The Deenbandhu model was developed in the early eighties by AFPRO and features an improved design of hemispheric digester.,Explain the timeframe and nature of development for the Deenbandhu model.,"Deenbandhu, the successor of the Janta model in India, with improved design of hemispheric digester was developed by AFPRO in early eighties."
147,The Deenbandhu model is 25-30% cheaper than the KVIC model.,How does the Deenbandhu model compare to the KVIC model in terms of cost?,This plant is 25-30% cheaper than KVIC model and the maintenance cost is almost negligible.
148,The Deenbandhu model was designed on the pattern of fixed dome biogas plants from China.,What is the construction pattern used in the Deenbandhu model and which country inspired this design?,It was designed on the pattern of fixed dome plant being constructed in China.
149,The Deenbandhu model has approval from the Ministry of Non-Renewable Energy resources.,What government body's approval does the Deenbandhu model have for biogas plants?,This model has been approved by Ministry of Non-Renewable Energy resources for construction of biogas plants of capacity ranging from 1-6 m³.
150,The full form of CAMARTEC is not specified in the text.,What is the full form of CAMARTEC?,"CAMARTEC model has a simplified structure of a hemispherical dome shell based on a rigid foundation ring only and a calculated joint of fraction, the so-called weak / strong ring."
151,Tanzania,In which country was the CAMARTEC model developed?,It was developed in the late 80s in Tanzania.
152,The CAMARTEC model.,Which model of biogas plant uses a simplified hemispherical dome shell structure?,CAMARTEC model has a simplified structure of a hemispherical dome shell based on a rigid foundation ring only and a calculated joint of fraction.
153,"The advantages include low initial costs, long useful life, compact design saving space, being well insulated, and creating local employment.",List some advantages of the CAMARTEC biogas plant model.,"Advantages: Low initial costs and long useful life –spam; no moving or rusting parts involved; basic design is compact, saves space and is well insulated; construction creates local employment."
154,"Masonry gas-holders require special sealants and high technical skills, frequent gas leaks, fluctuating pressure, gas visibility issues, complex operation, and expensive excavation in bedrock.",What are the disadvantages of masonry gas-holders used in biogas plants?,Disadvantages: Masonry gas-holders require special sealants and high technical skills for gas – tight construction; gas leaks occur quite frequently; fluctuating gas pressure complicates gas utilization; amount of gas produced is not immediately visible; plant operation not readily understandable; fixed dome plants need exact planning of levels; excavation can be difficult and expensive in bedrock.
155,The influent collecting tank gathers fresh substrate before feeding it into the digester.,What is the purpose of an influent collecting tank in a biogas plant?,"2.3.1 Influent collecting tank: Fresh substrate is usually gathered in an influent collecting tank prior to being fed into the digester. Depending on the type of system, the tank should hold one to two days’ substrate."
156,It can be used to homogenize various substrates.,What additional function can the influent collecting tank perform?,An influent collecting tank can also be used to homogenize the various substrates.
157,The CAMARTEC model features a simplified hemispherical dome shell with a rigid foundation ring and a calculated joint known as the weak/strong ring.,Describe the basic design characteristic of the CAMARTEC biogas plant model.,"The CAMARTEC model has a simplified structure of a hemispherical dome shell based on a rigid foundation ring only and a calculated joint of fraction, the so-called weak / strong ring."
158,"The main benefits are low initial costs, long useful life, absence of moving/rusting parts, compact design, insulation, and local employment creation.",What are the main benefits associated with the use of the CAMARTEC model in biogas plants?,"Advantages: Low initial costs and long useful life –spam; no moving or rusting parts involved; basic design is compact, saves space and is well insulated; construction creates local employment."
159,"Masonry gas-holders need special sealants, technical skills, frequent gas leak repairs, management of fluctuating pressure, and do not easily show the amount of gas produced.",What are the complexities involved with masonry gas-holders in biogas plants?,Disadvantages: Masonry gas-holders require special sealants and high technical skills for gas – tight construction; gas leaks occur quite frequently; fluctuating gas pressure complicates gas utilization; amount of gas produced is not immediately visible.
160,Fixed dome biogas plants require precise level planning and excavation which can be difficult and costly in bedrock.,Explain one reason why the operation of fixed dome biogas plants can be challenging.,Fixed dome plants need exact planning of levels; excavation can be difficult and expensive in bedrock.
161,It creates local employment.,What is one factor that makes construction using the CAMARTEC model beneficial?,construction creates local employment.
162,One to two days’ substrate.,What typical duration of substrate holding capacity is mentioned for the influent collecting tank in biogas systems?,"Depending on the type of system, the tank should hold one to two days’ substrate."
163,The calculated joint of fraction.,"In the CAMARTEC model, what does the term 'weak/strong ring' refer to?","A calculated joint of fraction, the so-called weak / strong ring."
164,Because fluctuating gas pressure complicates gas utilization.,Why might gas utilization be complicated in masonry gas-holders of biogas plants?,fluctuating gas pressure complicates gas utilization
165,H.S. Gupta,Who is the Director mentioned in the document?,"Guidance
H.S. Gupta
Director"
166,"December, 2012",When was the document printed?,"Printed: December, 2012"
167,500,How many copies of the document were printed?,Copies printed : 500
168,Joint Director (Research),What is the designated role of Malavika Dadlani?,"Guidance
Malavika Dadlani
Joint Director (Research)"
169,Indian Agricultural Research Institute,Which institution published the document?,"Published by the Director, Indian Agricultural Research Institute
New Delhi - 110 012"
